=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 705.80 ms
  Set 2: 668.61 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   126 |    2098 |    2968     251    2968 |     501     251     501 |    0.1    3.8    1.2
1    |   128 |    1376 |    3514     252    3514 |     504     252     504 |    0.1    5.1    1.5
2    |   128 |    2151 |    3498     255    3498 |     511     255     511 |    0.1    4.3    1.3
3    |   128 |    2158 |    3528     254    3528 |     508     254     508 |    0.1    5.3    1.5
4    |   127 |    2148 |    3520     252    3520 |     505     252     505 |    0.1    5.1    1.4
5    |   128 |    2160 |    3527     253    3527 |     506     253     506 |    0.1    5.4    1.5
6    |   128 |    2152 |    3523     253    3523 |     507     253     507 |    0.1    5.2    1.4
7    |   128 |    2142 |    3519     252    3519 |     505     252     505 |    0.1    5.2    1.4
8    |   128 |    2125 |    3015     252    3015 |     504     252     504 |    0.1    3.8    1.2
9    |   126 |    2117 |    3481     251    3481 |     502     251     502 |    0.1    5.4    1.5
10   |   128 |    2160 |    3526     253    3526 |     507     253     507 |    0.1    5.4    1.5
11   |   128 |    2137 |    3476     252    3476 |     504     252     504 |    0.1    5.3    1.5
12   |   128 |    2155 |    3518     253    3518 |     507     253     507 |    0.1    5.1    1.4
13   |   128 |    2157 |    3522     253    3522 |     505     253     505 |    0.1    5.2    1.5
14   |   126 |    2109 |    2993     251    2993 |     501     251     501 |    0.1    3.9    1.2
15   |   128 |    2159 |    3525     253    3525 |     506     253     506 |    0.1    5.4    1.6
16   |   128 |    1648 |    3534     253    3534 |     506     253     506 |    0.1    5.4    1.4
17   |   128 |    1393 |    3536     253    3536 |     506     253     506 |    0.1    4.2    1.3
18   |   128 |    1376 |    3517     253    3517 |     505     253     505 |    0.1    5.1    1.4
19   |   128 |    2168 |    3534     254    3534 |     508     254     508 |    0.1    5.4    1.5
20   |   128 |    2153 |    3521     254    3521 |     508     254     508 |    0.1    5.2    1.5
21   |   127 |    2068 |    2952     251    2952 |     503     251     503 |    0.1    3.9    1.2
