=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): ON
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 654.09 ms
  Set 2: 667.64 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   128 |    2144 |    3509     251    3509 |     504     251     504 |    0.1    5.0    0.5
1    |   126 |    2130 |    3506     251    3506 |     503     251     503 |    0.1    5.4    0.5
2    |   127 |    2132 |    3493     252    3493 |     505     252     505 |    0.1    5.0    0.4
3    |   128 |    2163 |    3533     254    3533 |     507     254     507 |    0.1    5.3    0.5
4    |   128 |    2148 |    3519     252    3519 |     504     252     504 |    0.1    5.1    0.4
5    |   127 |    2151 |    3523     253    3523 |     506     253     506 |    0.1    5.3    0.4
6    |   126 |    2129 |    3507     251    3507 |     503     251     503 |    0.1    5.4    0.4
7    |   128 |    2165 |    3535     253    3535 |     507     253     507 |    0.1    5.3    0.4
8    |   128 |    2150 |    3525     253    3525 |     506     253     506 |    0.1    5.3    0.4
9    |   128 |    2154 |    3521     252    3521 |     505     252     505 |    0.1    5.3    0.5
10   |   128 |    2140 |    3515     253    3515 |     506     253     506 |    0.1    5.0    0.4
11   |   126 |    2128 |    3014     252    3014 |     503     252     503 |    0.1    4.0    0.4
12   |   128 |    2153 |    3525     254    3525 |     508     254     508 |    0.1    5.2    0.4
13   |   128 |    2141 |    3497     251    3497 |     505     251     505 |    0.1    5.2    0.4
14   |   128 |    2145 |    3508     252    3508 |     504     252     504 |    0.1    5.0    0.5
15   |   128 |    2151 |    3516     252    3516 |     505     252     505 |    0.1    5.3    0.4
16   |   128 |    2157 |    3521     253    3521 |     507     253     507 |    0.1    5.2    0.4
17   |   128 |    1634 |    3501     252    3501 |     505     252     505 |    0.1    4.0    0.4
18   |   128 |    1378 |    3024     252    3024 |     505     252     505 |    0.1    4.0    0.4
19   |   127 |    1752 |    3500     252    3500 |     504     252     504 |    0.1    4.2    0.4
20   |   128 |    2135 |    3020     252    3020 |     504     252     504 |    0.1    4.1    0.4
21   |   128 |    2168 |    3536     253    3536 |     507     253     507 |    0.1    5.3    0.4
22   |   128 |    2132 |    3017     252    3017 |     505     252     505 |    0.1    3.9    0.4
23   |   128 |    2150 |    3514     252    3514 |     505     252     505 |    0.1    5.0    0.4
24   |   128 |    2167 |    3529     254    3529 |     507     254     507 |    0.1    5.3    0.4
25   |   128 |    2163 |    3526     253    3526 |     507     253     507 |    0.1    5.5    0.5
26   |   128 |    2167 |    3520     255    3520 |     510     255     510 |    0.1    5.1    0.4
27   |   128 |    2149 |    3525     253    3525 |     506     253     506 |    0.1    5.4    0.5
28   |   128 |    2152 |    3529     253    3529 |     506     253     506 |    0.1    5.3    0.4
29   |   128 |    2158 |    3523     253    3523 |     506     253     506 |    0.1    5.4    0.5
30   |   128 |    2152 |    3528     253    3528 |     506     253     506 |    0.1    5.3    0.5
31   |   127 |    1738 |    3478     252    3478 |     504     252     504 |    0.1    4.0    0.4
32   |   128 |    2150 |    3516     252    3516 |     504     252     504 |    0.1    5.4    0.4
33   |   128 |    2155 |    3531     253    3531 |     507     253     507 |    0.1    5.3    0.4
34   |   128 |    2156 |    3514     253    3514 |     506     253     506 |    0.1    5.4    0.5
35   |   128 |    1387 |    3522     253    3522 |     506     253     506 |    0.1    5.4    0.5
36   |   127 |    2125 |    3012     252    3012 |     503     251     503 |    0.1    4.2    0.4
37   |   128 |    2165 |    3534     253    3534 |     506     253     506 |    0.1    5.3    0.5
38   |   127 |    2136 |    3512     252    3512 |     504     252     504 |    0.1    5.0    0.4
39   |   128 |    1503 |    3512     252    3512 |     506     253     506 |    0.1    5.0    0.4
40   |   128 |    1644 |    3511     254    3511 |     507     253     507 |    0.1    4.3    0.4
41   |   127 |    2138 |    3511     252    3511 |     504     252     504 |    0.1    5.1    0.5
42   |   127 |    2143 |    3515     253    3515 |     506     253     506 |    0.1    5.2    0.4
43   |   128 |    1376 |    3018     252    3018 |     505     252     505 |    0.1    4.2    0.4
44   |   128 |    2169 |    3536     254    3536 |     508     254     508 |    0.1    5.4    0.5
