=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): ON
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2026.84 ms
  Set 2: 2124.40 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   193 |    3245 |    5325     383    5325 |     767     383     767 |    0.2   12.3    0.7
1    |   194 |    2081 |    5297     383    5297 |     768     384     768 |    0.2    9.6    0.6
2    |   194 |    3279 |    4614     385    4614 |     770     385     770 |    0.1   10.1    0.7
3    |   194 |    3273 |    5368     386    5368 |     771     386     771 |    0.2   10.4    0.7
4    |   194 |    3259 |    5370     384    5370 |     769     384     769 |    0.2   12.6    0.7
5    |   194 |    3269 |    4603     388    4603 |     775     388     775 |    0.1    9.6    0.6
6    |   194 |    3277 |    5365     384    5365 |     769     384     769 |    0.1   13.4    0.7
7    |   194 |    3262 |    5349     384    5349 |     767     384     767 |    0.2   12.9    0.7
8    |   194 |    3271 |    5359     385    5359 |     771     385     771 |    0.1   13.4    0.7
9    |   193 |    2256 |    4530     383    4530 |     766     383     766 |    0.1    9.3    0.6
10   |   192 |    3227 |    4572     383    4572 |     765     383     765 |    0.1    9.3    0.6
11   |   194 |    3273 |    5365     384    5365 |     769     384     769 |    0.1   12.2    0.7
12   |   194 |    3271 |    5369     384    5369 |     769     384     769 |    0.1   13.0    0.7
13   |   194 |    3275 |    5362     384    5362 |     768     384     768 |    0.1   12.8    0.7
14   |   194 |    3256 |    4606     384    4606 |     769     384     769 |    0.1    9.5    0.6
15   |   194 |    3291 |    5377     386    5377 |     772     386     772 |    0.1   12.2    0.7
16   |   193 |    3270 |    5358     385    5358 |     770     385     770 |    0.1   13.0    0.7
17   |   194 |    3279 |    5373     385    5373 |     769     385     769 |    0.1   12.8    0.7
18   |   194 |    2473 |    4588     384    4588 |     768     384     768 |    0.1    9.4    0.6
19   |   194 |    3270 |    5366     384    5366 |     770     385     770 |    0.1   13.2    0.7
20   |   193 |    3270 |    4605     384    4605 |     768     384     768 |    0.1    9.5    0.6
21   |   194 |    2120 |    5367     387    5367 |     774     387     774 |    0.1   12.5    0.7
22   |   193 |    3257 |    5356     383    5356 |     767     383     767 |    0.1   12.2    0.7
