=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 670.85 ms
  Set 2: 682.64 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
68   |   128 |    2166 |    3530     254    3530 |     508     254     508 |    0.1    5.2    0.5
69   |   128 |    2160 |    3526     254    3526 |     507     254     507 |    0.1    5.2    0.5
70   |   128 |    1640 |    3519     253    3519 |     507     253     507 |    0.1    5.3    0.4
71   |   127 |    2133 |    3504     251    3504 |     503     251     503 |    0.1    5.1    0.4
72   |   127 |    2143 |    3510     252    3510 |     504     252     504 |    0.1    5.2    0.4
73   |   128 |    2151 |    3512     252    3512 |     504     252     504 |    0.1    4.9    0.4
74   |   127 |    1765 |    3500     254    3500 |     508     254     508 |    0.1    4.5    0.4
75   |   128 |    2139 |    3503     251    3503 |     503     251     503 |    0.1    4.9    0.4
76   |   128 |    2154 |    3519     252    3519 |     505     252     505 |    0.1    5.1    0.4
77   |   127 |    1599 |    3423     253    3423 |     506     253     506 |    0.1    3.9    0.4
78   |   128 |    1889 |    3516     252    3516 |     507     254     507 |    0.1    5.4    0.4
79   |   128 |    2167 |    3527     254    3527 |     508     254     508 |    0.1    5.4    0.4
80   |   127 |    2145 |    3519     253    3519 |     506     253     506 |    0.1    5.5    0.4
81   |   128 |    2163 |    3524     255    3524 |     510     255     510 |    0.1    5.2    0.5
82   |   128 |    2155 |    3523     253    3523 |     506     253     506 |    0.1    5.2    0.4
83   |   128 |    2160 |    3498     256    3498 |     513     256     513 |    0.1    4.3    0.4
84   |   128 |    2135 |    3503     251    3503 |     503     251     503 |    0.1    5.3    0.4
85   |   128 |    2137 |    3507     253    3507 |     507     253     507 |    0.1    4.4    0.4
86   |   127 |    2149 |    3519     253    3519 |     506     253     506 |    0.1    5.5    0.5
87   |   127 |    2147 |    3514     253    3514 |     506     253     506 |    0.1    5.4    0.4
88   |   127 |    2137 |    3504     252    3504 |     504     252     504 |    0.1    5.4    0.4
89   |   128 |    1502 |    3521     252    3521 |     506     252     506 |    0.1    5.4    0.4
90   |   128 |    2159 |    3506     253    3506 |     507     253     507 |    0.1    5.1    0.4
91   |   128 |    2158 |    3523     254    3523 |     509     254     509 |    0.1    5.0    0.4
92   |   127 |    2149 |    3514     252    3514 |     505     252     505 |    0.1    5.1    0.5
93   |   128 |    2159 |    3521     254    3521 |     508     254     508 |    0.1    5.2    0.4
94   |   128 |    2158 |    3524     253    3524 |     507     253     507 |    0.1    5.2    0.4
95   |   128 |    2161 |    3532     253    3532 |     506     253     506 |    0.1    5.3    0.4
96   |   128 |    1770 |    3525     254    3525 |     509     254     509 |    0.1    5.2    0.4
97   |   127 |    1484 |    3003     251    3003 |     504     251     504 |    0.1    4.0    0.4
98   |   127 |    1381 |    3509     253    3509 |     505     253     505 |    0.1    5.3    0.4
99   |   128 |    1384 |    3524     253    3524 |     506     253     506 |    0.1    5.3    0.4
100  |   128 |    2156 |    3030     253    3030 |     507     253     507 |    0.1    3.8    0.4
101  |   128 |    1392 |    3522     253    3522 |     506     253     506 |    0.1    5.2    0.6
102  |   128 |    2146 |    3507     252    3507 |     504     252     504 |    0.2    5.4    0.4
103  |   128 |    2168 |    3538     254    3538 |     508     254     508 |    0.1    5.0    0.4
104  |   128 |    2163 |    3539     253    3539 |     507     253     507 |    0.1    5.4    0.4
105  |   126 |    1745 |    3473     253    3473 |     506     253     506 |    0.1    4.3    0.4
106  |   127 |    2136 |    3013     251    3013 |     503     251     503 |    0.1    4.3    0.4
107  |   128 |    2145 |    3461     258    3461 |     516     258     516 |    0.1    4.4    0.5
108  |   127 |    1761 |    3497     254    3497 |     508     254     508 |    0.1    4.1    0.4
109  |   128 |    2162 |    3528     253    3528 |     506     253     506 |    0.1    5.3    0.4
110  |   128 |    2162 |    3534     253    3534 |     506     253     506 |    0.1    5.3    0.4
111  |   128 |    2163 |    3539     253    3539 |     507     254     507 |    0.1    5.2    0.4
112  |   128 |    2143 |    3517     253    3517 |     506     253     506 |    0.1    5.3    0.4
113  |   128 |    2162 |    3517     253    3517 |     507     254     507 |    0.1    5.3    0.4
114  |   128 |    2163 |    3535     254    3535 |     507     254     507 |    0.1    5.4    0.4
115  |   127 |    2138 |    3499     252    3499 |     504     252     504 |    0.1    5.4    0.4
116  |   127 |    2141 |    3520     252    3520 |     504     252     504 |    0.1    5.1    0.4
117  |   128 |    2060 |    3439     252    3439 |     504     252     504 |    0.1    3.9    0.4
118  |   128 |    1384 |    3520     253    3520 |     506     253     506 |    0.1    5.4    0.4
119  |   127 |    1494 |    3517     252    3517 |     505     252     505 |    0.1    5.2    0.4
120  |   128 |    1377 |    3515     252    3515 |     504     252     504 |    0.1    5.4    0.4
121  |   128 |    2158 |    3525     254    3525 |     508     254     508 |    0.1    5.1    0.4
122  |   128 |    2168 |    3522     255    3522 |     510     255     510 |    0.1    5.1    0.4
123  |   127 |    1497 |    3517     253    3517 |     506     253     506 |    0.1    5.1    0.4
124  |   127 |    2131 |    3017     251    3017 |     503     251     503 |    0.1    4.0    0.4
125  |   128 |    2148 |    3509     252    3509 |     504     252     504 |    0.1    5.2    0.4
126  |   128 |    1379 |    3518     252    3518 |     504     252     504 |    0.1    5.3    0.4
127  |   127 |    2139 |    3513     252    3513 |     504     252     504 |    0.1    5.4    0.4
128  |   128 |    2156 |    3522     253    3522 |     507     253     507 |    0.1    5.2    0.4
129  |   127 |    2139 |    3508     253    3508 |     505     253     505 |    0.1    5.3    0.5
130  |   127 |    2137 |    3493     251    3493 |     504     251     504 |    0.1    5.1    0.4
131  |   128 |    2156 |    3533     253    3533 |     506     253     506 |    0.1    5.6    0.4
132  |   128 |    2144 |    3509     254    3509 |     510     254     510 |    0.1    5.2    0.4
133  |   128 |    2148 |    3509     253    3509 |     505     252     505 |    0.1    5.4    0.5
134  |   128 |    2154 |    3523     252    3523 |     506     253     506 |    0.1    5.4    0.5
135  |   128 |    2146 |    3512     253    3512 |     506     253     506 |    0.1    5.2    0.4
136  |   128 |    2144 |    3519     252    3519 |     505     252     505 |    0.1    5.4    0.5
137  |   128 |    2152 |    3519     252    3519 |     505     252     505 |    0.1    5.1    0.4
138  |   128 |    2151 |    3025     253    3025 |     505     253     505 |    0.1    4.1    0.4
139  |   128 |    2158 |    3522     253    3522 |     506     253     506 |    0.1    5.2    0.4
140  |   128 |    2159 |    3521     253    3521 |     506     253     506 |    0.1    5.1    0.4
141  |   128 |    2167 |    3531     254    3531 |     508     254     508 |    0.1    5.4    0.4
142  |   127 |    2133 |    3511     251    3511 |     503     251     503 |    0.1    5.0    0.4
143  |   128 |    2156 |    3521     253    3521 |     506     253     506 |    0.1    5.2    0.4
144  |   128 |    2144 |    3517     252    3517 |     505     252     505 |    0.1    5.2    0.4
145  |   128 |    2115 |    3001     252    3001 |     504     252     504 |    0.1    4.0    0.4
146  |   127 |    2124 |    3009     251    3009 |     502     251     502 |    0.1    4.0    0.4
147  |   128 |    2146 |    3522     254    3522 |     507     254     507 |    0.1    5.5    0.4
148  |   127 |    2133 |    3517     252    3517 |     504     252     504 |    0.1    5.2    0.4
149  |   128 |    1374 |    3016     252    3016 |     505     252     505 |    0.1    4.2    0.4
150  |   128 |    2164 |    3527     253    3527 |     507     253     507 |    0.1    5.3    0.4
151  |   127 |    2142 |    3506     251    3506 |     504     251     504 |    0.1    5.4    0.4
152  |   128 |    1480 |    3520     252    3520 |     505     253     505 |    0.1    5.0    0.4
153  |   128 |    1633 |    3526     253    3526 |     506     253     506 |    0.1    5.1    0.4
154  |   128 |    2165 |    3531     253    3531 |     507     253     507 |    0.1    4.9    0.4
155  |   128 |    2135 |    3483     252    3483 |     504     252     504 |    0.1    5.2    0.4
156  |   127 |    2146 |    3519     253    3519 |     505     253     505 |    0.1    5.2    0.4
157  |   128 |    2154 |    3510     253    3510 |     507     253     507 |    0.1    5.3    0.4
158  |   127 |    2146 |    3509     253    3509 |     506     253     506 |    0.1    5.3    0.4
159  |   128 |    1908 |    3497     255    3497 |     509     255     509 |    0.1    4.0    0.4
160  |   127 |    2123 |    3008     252    3008 |     504     252     504 |    0.1    4.0    0.4
161  |   128 |    2171 |    3521     255    3521 |     510     255     510 |    0.1    5.1    0.4
162  |   128 |    2144 |    3525     252    3525 |     505     252     505 |    0.1    5.4    0.5
163  |   128 |    2157 |    3527     253    3527 |     506     253     506 |    0.1    5.2    0.5
164  |   128 |    2124 |    3013     252    3013 |     504     252     504 |    0.1    4.2    0.4
165  |   127 |    2148 |    3513     253    3513 |     505     253     505 |    0.1    5.2    0.6
166  |   128 |    1359 |    2970     252    2970 |     505     252     505 |    0.1    4.5    0.4
167  |   128 |    1631 |    3521     252    3521 |     505     252     505 |    0.1    5.3    0.4
168  |   128 |    2167 |    3538     253    3538 |     507     254     507 |    0.1    5.3    0.4
169  |   128 |    2155 |    3526     253    3526 |     506     253     506 |    0.1    5.1    0.4
170  |   127 |    2126 |    3011     252    3011 |     504     252     504 |    0.1    3.8    0.4
171  |   127 |    2134 |    3460     256    3460 |     512     256     512 |    0.1    4.4    0.4
172  |   128 |    2158 |    3530     253    3530 |     506     253     506 |    0.1    5.3    0.4
173  |   128 |    2152 |    3526     253    3526 |     505     253     505 |    0.1    5.2    0.5
174  |   128 |    2126 |    3469     252    3469 |     505     252     505 |    0.1    5.2    0.4
175  |   128 |    2158 |    3531     253    3531 |     506     253     506 |    0.1    5.3    0.4
176  |   126 |    2120 |    3491     251    3491 |     502     251     502 |    0.1    5.1    0.4
177  |   128 |    2152 |    3529     253    3529 |     507     253     507 |    0.1    5.5    0.5
178  |   127 |    1758 |    3515     253    3515 |     506     253     506 |    0.1    5.6    0.5
179  |   128 |    2126 |    3010     251    3010 |     504     251     504 |    0.2    5.9    0.4
180  |   128 |    2157 |    3519     253    3519 |     506     253     506 |    0.1    6.8    0.6
