=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 4293.23 ms
  Set 2: 4122.16 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   255 |    2785 |    7085     507    7085 |    1015     507    1015 |    0.2   23.9    4.4
1    |   254 |    4295 |    7063     505    7063 |    1012     505    1012 |    0.2   22.5    4.3
2    |   255 |    4328 |    7091     508    7091 |    1016     508    1016 |    0.1   23.5    4.3
3    |   254 |    3012 |    6063     506    6063 |    1012     506    1012 |    0.1   17.1    3.8
4    |   255 |    2778 |    7082     506    7082 |    1014     507    1014 |    0.1   23.3    4.3
5    |   255 |    4312 |    7087     507    7087 |    1014     507    1014 |    0.1   23.4    4.4
6    |   255 |    4247 |    6020     507    6020 |    1014     507    1014 |    0.1   16.6    3.7
7    |   254 |    3039 |    7072     508    7072 |    1016     508    1016 |    0.2   17.8    3.8
8    |   255 |    4296 |    7070     506    7070 |    1013     506    1013 |    0.1   23.0    4.4
9    |   254 |    2778 |    7072     506    7072 |    1013     507    1013 |    0.1   23.6    4.4
10   |   255 |    2791 |    7088     507    7088 |    1015     507    1015 |    0.1   24.0    4.4
11   |   255 |    4316 |    7081     507    7081 |    1015     507    1015 |    0.1   22.9    4.4
12   |   255 |    4286 |    6065     506    6065 |    1013     506    1013 |    0.2   17.5    3.7
13   |   255 |    4291 |    6071     506    6071 |    1012     506    1012 |    0.1   17.5    3.8
14   |   255 |    3792 |    7075     508    7075 |    1015     508    1015 |    0.2   17.9    3.8
15   |   255 |    4318 |    7086     507    7086 |    1015     507    1015 |    0.1   23.1    4.4
16   |   255 |    4314 |    7085     509    7085 |    1017     509    1017 |    0.2   23.3    4.4
17   |   253 |    3280 |    7059     506    7059 |    1014     506    1014 |    0.2   16.8    3.6
18   |   255 |    4301 |    6076     507    6076 |    1013     507    1013 |    0.2   16.5    3.7
19   |   255 |    4313 |    7088     507    7088 |    1014     507    1014 |    0.1   23.1    4.4
20   |   255 |    3269 |    6071     506    6071 |    1013     506    1013 |    0.1   17.1    3.8
21   |   255 |    4299 |    7060     506    7060 |    1013     506    1013 |    0.1   23.3    4.4
22   |   255 |    4327 |    7097     508    7097 |    1016     508    1016 |    0.1   23.0    4.3
23   |   253 |    4282 |    7067     506    7067 |    1011     506    1011 |    0.2   23.0    4.4
24   |   255 |    4328 |    7093     508    7093 |    1016     508    1016 |    0.1   24.3    4.5
25   |   255 |    4287 |    7024     506    7024 |    1013     506    1013 |    0.1   22.8    4.3
26   |   254 |    4298 |    7074     506    7074 |    1013     506    1013 |    0.1   23.4    4.5
27   |   255 |    3295 |    6082     508    6082 |    1017     508    1017 |    0.1   17.6    3.8
28   |   255 |    4314 |    7075     508    7075 |    1015     508    1015 |    0.1   24.5    4.4
29   |   255 |    4301 |    7076     507    7076 |    1013     507    1013 |    0.1   23.9    4.4
30   |   255 |    4319 |    6088     507    6088 |    1015     507    1015 |    0.1   17.6    3.9
31   |   254 |    4291 |    6066     506    6066 |    1013     506    1013 |    0.1   17.0    3.7
32   |   255 |    4306 |    7079     507    7079 |    1013     507    1013 |    0.1   23.3    4.3
33   |   252 |    4270 |    7017     507    7017 |    1014     507    1014 |    0.1   17.7    3.8
34   |   255 |    4325 |    7091     508    7091 |    1016     508    1016 |    0.1   24.3    4.5
35   |   254 |    4275 |    7020     505    7020 |    1012     505    1012 |    0.1   22.8    4.4
36   |   255 |    4305 |    7080     507    7080 |    1014     507    1014 |    0.1   23.3    4.4
37   |   255 |    4323 |    7084     508    7084 |    1016     508    1016 |    0.1   22.7    4.2
38   |   254 |    3533 |    7074     506    7074 |    1013     506    1013 |    0.1   22.3    4.4
39   |   255 |    4323 |    7094     507    7094 |    1015     507    1015 |    0.2   23.5    4.3
40   |   255 |    4312 |    7058     509    7058 |    1018     509    1018 |    0.2   17.6    3.8
41   |   255 |    4310 |    7080     506    7080 |    1013     506    1013 |    0.1   23.4    4.4
42   |   253 |    4294 |    6067     506    6067 |    1012     506    1012 |    0.1   17.1    3.9
43   |   255 |    4310 |    7085     507    7085 |    1014     507    1014 |    0.1   22.4    4.3
44   |   255 |    4318 |    7088     507    7088 |    1015     508    1015 |    0.1   22.9    4.3
45   |   255 |    4321 |    7088     507    7088 |    1015     507    1015 |    0.1   23.2    4.4
46   |   255 |    4313 |    7081     507    7081 |    1014     507    1014 |    0.1   23.5    4.4
47   |   255 |    4320 |    7074     508    7074 |    1016     508    1016 |    0.1   23.4    4.3
48   |   255 |    4316 |    7083     507    7083 |    1014     507    1014 |    0.2   23.3    4.3
49   |   255 |    4318 |    7091     508    7091 |    1015     508    1015 |    0.1   23.9    4.5
50   |   255 |    4317 |    7080     507    7080 |    1015     507    1015 |    0.2   22.9    4.4
51   |   254 |    4285 |    7049     508    7049 |    1016     508    1016 |    0.2   22.6    4.3
52   |   255 |    4293 |    6070     506    6070 |    1012     506    1012 |    0.1   17.6    3.8
53   |   255 |    4294 |    6072     506    6072 |    1013     506    1013 |    0.1   17.7    4.0
54   |   255 |    4283 |    6061     506    6061 |    1013     506    1013 |    0.2   17.2    3.7
55   |   255 |    4321 |    7083     508    7083 |    1015     508    1015 |    0.2   23.6    4.7
56   |   255 |    4315 |    7064     507    7064 |    1015     507    1015 |    0.2   24.5    4.3
57   |   254 |    4278 |    6054     505    6054 |    1012     505    1012 |    0.2   17.7    4.2
58   |   254 |    4299 |    7071     507    7071 |    1013     507    1013 |    0.2   24.1    4.6
59   |   255 |    4320 |    7081     508    7081 |    1016     508    1016 |    0.2   23.2    4.4
60   |   254 |    4311 |    7083     507    7083 |    1014     507    1014 |    0.2   27.3    6.4
61   |   255 |    4315 |    7078     508    7078 |    1016     508    1016 |    0.2   28.8    4.7
62   |   254 |    4293 |    7064     506    7064 |    1011     506    1011 |    0.2   25.4    6.5
63   |   255 |    4314 |    7077     507    7077 |    1013     507    1013 |    0.2   24.8    4.5
64   |   255 |    2776 |    7078     507    7078 |    1015     507    1015 |    0.2   24.3    4.5
65   |   255 |    4321 |    7093     507    7093 |    1015     508    1015 |    0.2   23.6    4.5
66   |   254 |    4301 |    7070     506    7070 |    1012     506    1012 |    0.1   23.4    4.4
67   |   255 |    4317 |    7089     507    7089 |    1015     507    1015 |    0.1   23.8    4.4
68   |   255 |    4317 |    7090     507    7090 |    1015     508    1015 |    0.1   23.5    4.4
69   |   254 |    4279 |    6057     506    6057 |    1012     506    1012 |    0.2   16.7    3.6
70   |   253 |    4255 |    6029     506    6029 |    1011     506    1011 |    0.1   17.4    3.8
71   |   254 |    4273 |    6049     506    6049 |    1012     506    1012 |    0.1   17.2    3.8
72   |   254 |    4295 |    7064     506    7064 |    1012     506    1012 |    0.1   24.1    4.5
73   |   255 |    4308 |    7087     507    7087 |    1014     507    1014 |    0.1   23.9    4.6
74   |   255 |    4292 |    7075     506    7075 |    1012     506    1012 |    0.1   17.2    3.8
75   |   255 |    4322 |    7085     508    7085 |    1016     508    1016 |    0.2   22.8    4.3
76   |   255 |    4328 |    7098     508    7098 |    1016     508    1016 |    0.1   23.1    4.4
77   |   255 |    4314 |    7077     506    7077 |    1013     506    1013 |    0.1   23.5    4.4
78   |   255 |    4318 |    7078     508    7078 |    1016     508    1016 |    0.1   22.5    4.4
79   |   255 |    3029 |    6074     506    6074 |    1013     507    1013 |    0.2   17.0    3.8
80   |   255 |    4320 |    7087     507    7087 |    1015     507    1015 |    0.1   23.0    4.4
81   |   255 |    4288 |    7028     505    7028 |    1013     505    1013 |    0.1   23.1    4.3
82   |   253 |    4288 |    7056     506    7056 |    1013     507    1013 |    0.2   17.0    3.7
83   |   255 |    4317 |    6084     507    6084 |    1014     507    1014 |    0.1   17.1    3.9
84   |   255 |    4304 |    7070     506    7070 |    1013     506    1013 |    0.1   22.9    4.4
85   |   255 |    4323 |    7093     508    7093 |    1015     508    1015 |    0.1   23.6    4.4
86   |   254 |    4307 |    7068     507    7068 |    1014     507    1014 |    0.1   23.6    4.4
87   |   255 |    4315 |    7078     507    7078 |    1014     507    1014 |    0.1   28.1    4.3
88   |   255 |    4311 |    7077     507    7077 |    1014     507    1014 |    0.1   22.1    4.2
89   |   255 |    4293 |    6068     506    6068 |    1012     506    1012 |    0.1   17.6    3.8
90   |   255 |    4312 |    7077     507    7077 |    1015     507    1015 |    0.1   22.0    4.2
91   |   255 |    4297 |    7076     507    7076 |    1014     507    1014 |    0.2   23.6    4.4
92   |   253 |    4287 |    7057     505    7057 |    1011     505    1011 |    0.1   23.6    4.3
93   |   255 |    4323 |    7088     507    7088 |    1015     507    1015 |    0.1   23.6    4.4
94   |   254 |    4308 |    7081     507    7081 |    1013     507    1013 |    0.1   23.2    4.3
95   |   254 |    4300 |    7070     506    7070 |    1012     506    1012 |    0.1   22.7    4.4
96   |   255 |    4325 |    7087     508    7087 |    1015     508    1015 |    0.1   23.0    4.3
97   |   254 |    4222 |    5994     507    5994 |    1014     507    1014 |    0.2   17.6    3.8
98   |   255 |    3024 |    7088     507    7088 |    1014     507    1014 |    0.1   22.7    4.3
99   |   254 |    4310 |    7081     507    7081 |    1015     507    1015 |    0.1   24.0    4.5
100  |   255 |    4275 |    6051     506    6051 |    1013     506    1013 |    0.1   17.3    3.8
101  |   255 |    2780 |    7082     508    7082 |    1014     507    1014 |    0.1   22.8    4.3
102  |   255 |    4320 |    6086     507    6086 |    1015     507    1015 |    0.1   16.9    3.8
103  |   255 |    4306 |    7085     507    7085 |    1014     507    1014 |    0.1   24.2    4.5
104  |   254 |    4301 |    7076     507    7076 |    1014     507    1014 |    0.2   22.7    4.3
105  |   254 |    4296 |    7057     506    7057 |    1012     506    1012 |    0.1   23.9    4.5
106  |   255 |    3019 |    6060     506    6060 |    1013     506    1013 |    0.1   17.4    3.7
107  |   255 |    4294 |    7069     507    7069 |    1015     507    1015 |    0.2   17.3    3.7
108  |   255 |    4319 |    7084     507    7084 |    1014     507    1014 |    0.1   23.7    4.4
109  |   255 |    4314 |    7086     507    7086 |    1015     507    1015 |    0.1   22.9    4.3
110  |   254 |    4266 |    6043     505    6043 |    1012     505    1012 |    0.1   17.4    3.8
111  |   255 |    4301 |    7080     507    7080 |    1014     507    1014 |    0.1   23.4    4.4
112  |   254 |    4307 |    7069     507    7069 |    1014     507    1014 |    0.1   23.0    4.3
113  |   254 |    4294 |    7061     505    7061 |    1012     505    1012 |    0.1   23.2    4.4
114  |   255 |    4297 |    7080     507    7080 |    1014     507    1014 |    0.2   22.5    4.3
115  |   255 |    4310 |    7074     507    7074 |    1014     507    1014 |    0.1   24.2    4.4
116  |   254 |    4304 |    7074     506    7074 |    1013     506    1013 |    0.1   23.2    4.3
117  |   255 |    4324 |    7081     508    7081 |    1017     508    1017 |    0.1   23.3    4.3
118  |   255 |    2777 |    7083     507    7083 |    1013     507    1013 |    0.1   24.0    4.4
119  |   255 |    3030 |    7087     509    7087 |    1017     508    1017 |    0.1   22.9    4.4
120  |   255 |    3294 |    7075     506    7075 |    1017     508    1017 |    0.1   22.3    4.3
121  |   255 |    4313 |    7082     507    7082 |    1014     507    1014 |    0.2   23.8    4.5
122  |   254 |    4306 |    7082     507    7082 |    1014     507    1014 |    0.1   24.1    4.8
123  |   253 |    4258 |    7033     505    7033 |    1012     505    1012 |    0.1   16.5    3.7
124  |   255 |    4316 |    7085     508    7085 |    1015     508    1015 |    0.2   18.2    3.8
125  |   255 |    4313 |    7079     509    7079 |    1017     509    1017 |    0.1   23.8    4.4
126  |   254 |    4296 |    7062     506    7062 |    1012     506    1012 |    0.2   23.6    4.5
127  |   255 |    4305 |    7071     508    7071 |    1016     508    1016 |    0.2   22.6    4.5
128  |   255 |    3789 |    7072     506    7072 |    1013     506    1013 |    0.2   18.0    3.8
129  |   255 |    3303 |    7088     507    7088 |    1015     507    1015 |    0.1   23.1    4.4
130  |   255 |    2796 |    7044     510    7044 |    1020     510    1020 |    0.2   16.7    3.7
131  |   255 |    4315 |    7081     508    7081 |    1016     508    1016 |    0.1   23.4    4.3
132  |   255 |    4314 |    7077     506    7077 |    1014     506    1014 |    0.1   23.1    4.4
133  |   255 |    3809 |    7079     507    7079 |    1014     507    1014 |    0.1   23.5    4.4
134  |   255 |    4314 |    7063     507    7063 |    1015     507    1015 |    0.1   23.2    4.4
135  |   255 |    4316 |    7086     507    7086 |    1014     507    1014 |    0.1   23.5    4.4
136  |   255 |    4305 |    7074     506    7074 |    1013     506    1013 |    0.1   23.3    4.3
137  |   255 |    4325 |    7091     509    7091 |    1017     509    1017 |    0.2   23.2    4.3
138  |   254 |    3287 |    7080     506    7080 |    1013     506    1013 |    0.1   24.1    4.4
139  |   255 |    4319 |    7081     508    7081 |    1017     508    1017 |    0.1   23.0    4.3
140  |   255 |    4318 |    7094     508    7094 |    1015     508    1015 |    0.1   23.1    4.4
141  |   255 |    4314 |    7070     506    7070 |    1016     508    1016 |    0.1   23.1    4.3
142  |   255 |    4302 |    7059     506    7059 |    1013     506    1013 |    0.1   23.6    4.4
143  |   254 |    4303 |    7075     506    7075 |    1013     506    1013 |    0.1   23.9    4.4
144  |   255 |    4330 |    7094     508    7094 |    1017     508    1017 |    0.1   22.4    4.3
145  |   255 |    4296 |    6072     506    6072 |    1013     507    1013 |    0.2   16.8    3.7
146  |   255 |    4322 |    7092     507    7092 |    1015     507    1015 |    0.1   23.6    4.4
147  |   255 |    4326 |    7097     508    7097 |    1017     508    1017 |    0.1   23.4    4.3
148  |   254 |    4271 |    6047     505    6047 |    1011     506    1011 |    0.1   17.6    3.8
149  |   255 |    4308 |    7051     507    7051 |    1014     507    1014 |    0.1   23.3    4.3
150  |   254 |    4299 |    7074     506    7074 |    1013     506    1013 |    0.1   23.4    4.4
151  |   255 |    4313 |    7080     507    7080 |    1014     507    1014 |    0.1   23.2    4.4
152  |   255 |    4314 |    7085     507    7085 |    1015     507    1015 |    0.1   23.8    4.4
153  |   255 |    4312 |    7083     507    7083 |    1015     507    1015 |    0.1   23.1    4.4
154  |   255 |    4306 |    7060     506    7060 |    1014     506    1014 |    0.2   23.5    4.5
155  |   255 |    4304 |    7080     507    7080 |    1014     507    1014 |    0.1   23.1    4.3
156  |   255 |    3520 |    6054     506    6054 |    1013     506    1013 |    0.1   17.1    3.7
157  |   255 |    4315 |    7084     508    7084 |    1015     508    1015 |    0.1   22.8    4.5
158  |   255 |    4312 |    7076     507    7076 |    1014     507    1014 |    0.1   22.7    4.3
159  |   255 |    4317 |    7088     507    7088 |    1014     507    1014 |    0.2   22.7    4.4
160  |   254 |    4294 |    6068     506    6068 |    1012     506    1012 |    0.1   17.3    4.5
161  |   254 |    4292 |    6067     506    6067 |    1012     506    1012 |    0.1   17.1    3.8
162  |   255 |    3275 |    7029     507    7029 |    1014     507    1014 |    0.2   17.4    3.8
163  |   255 |    4306 |    7086     507    7086 |    1014     507    1014 |    0.2   23.3    4.4
164  |   255 |    4308 |    7084     507    7084 |    1015     507    1015 |    0.2   23.8    4.5
165  |   255 |    3271 |    7061     506    7061 |    1012     506    1012 |    0.1   17.1    3.8
166  |   255 |    3294 |    7091     508    7091 |    1015     508    1015 |    0.2   18.1    3.8
167  |   254 |    3256 |    6060     506    6060 |    1012     506    1012 |    0.1   16.6    3.8
168  |   255 |    4316 |    7074     508    7074 |    1015     508    1015 |    0.2   23.7    4.4
169  |   255 |    4313 |    7081     509    7081 |    1017     509    1017 |    0.1   23.4    4.3
170  |   255 |    4314 |    7083     507    7083 |    1015     507    1015 |    0.2   23.6    4.5
171  |   255 |    4324 |    7091     507    7091 |    1014     507    1014 |    0.1   23.9    4.5
172  |   255 |    4308 |    7079     507    7079 |    1014     507    1014 |    0.1   23.3    4.4
173  |   255 |    3777 |    7003     509    7003 |    1018     509    1018 |    0.1   16.6    3.7
174  |   255 |    4302 |    7072     506    7072 |    1012     506    1012 |    0.1   23.6    4.4
175  |   254 |    4272 |    6052     506    6052 |    1011     506    1011 |    0.1   16.6    3.7
176  |   255 |    4317 |    7086     507    7086 |    1015     507    1015 |    0.1   23.4    4.5
177  |   253 |    4282 |    6057     506    6057 |    1011     506    1011 |    0.1   17.8    3.8
178  |   255 |    4316 |    7078     508    7078 |    1016     508    1016 |    0.1   22.9    4.3
179  |   255 |    4308 |    7082     507    7082 |    1014     507    1014 |    0.1   23.0    4.4
180  |   255 |    3276 |    6061     506    6061 |    1013     506    1013 |    0.1   17.7    3.9
181  |   255 |    4288 |    6066     507    6066 |    1013     507    1013 |    0.2   18.0    3.8
182  |   255 |    4318 |    7086     507    7086 |    1015     507    1015 |    0.1   22.7    4.3
183  |   255 |    4313 |    7071     507    7071 |    1015     507    1015 |    0.1   23.1    4.3
184  |   254 |    3295 |    7078     507    7078 |    1014     507    1014 |    0.1   17.7    3.8
185  |   253 |    3032 |    7048     507    7048 |    1014     507    1014 |    0.1   17.7    3.8
186  |   255 |    4310 |    7083     507    7083 |    1015     508    1015 |    0.1   23.7    4.4
