=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 3939.05 ms
  Set 2: 4149.13 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   255 |    4315 |    7089     507    7089 |    1015     507    1015 |    0.2   23.9    0.9
1    |   255 |    4313 |    7083     507    7083 |    1014     507    1014 |    0.1   24.2    1.0
2    |   255 |    4318 |    7089     508    7089 |    1017     508    1017 |    0.1   23.7    1.2
3    |   255 |    4321 |    7089     508    7089 |    1016     508    1016 |    0.2   28.5    0.9
4    |   255 |    4314 |    7077     507    7077 |    1015     507    1015 |    0.2   23.8    0.9
5    |   254 |    4279 |    6054     506    6054 |    1011     506    1011 |    0.2   17.0    0.8
6    |   254 |    4304 |    7075     507    7075 |    1014     507    1014 |    0.2   23.5    0.9
7    |   255 |    4313 |    7079     507    7079 |    1014     507    1014 |    0.2   23.4    0.9
8    |   255 |    4314 |    6086     508    6086 |    1015     508    1015 |    0.2   17.4    0.8
9    |   254 |    4304 |    6071     506    6071 |    1012     506    1012 |    0.1   17.1    0.8
10   |   255 |    4316 |    7084     507    7084 |    1014     507    1014 |    0.1   24.2    0.9
11   |   255 |    4324 |    7082     508    7082 |    1017     508    1017 |    0.2   22.4    0.9
12   |   253 |    4282 |    6055     505    6055 |    1011     505    1011 |    0.1   17.4    0.8
13   |   255 |    3030 |    7087     507    7087 |    1015     508    1015 |    0.2   24.1    0.9
14   |   255 |    4310 |    7080     507    7080 |    1014     507    1014 |    0.2   23.2    0.9
15   |   255 |    4316 |    7077     507    7077 |    1014     507    1014 |    0.2   22.8    0.9
16   |   255 |    4318 |    7086     508    7086 |    1016     508    1016 |    0.1   23.3    0.9
17   |   255 |    4325 |    7100     508    7100 |    1015     508    1015 |    0.2   23.3    0.9
18   |   255 |    4326 |    7078     509    7078 |    1019     509    1019 |    0.1   23.5    0.9
19   |   255 |    4293 |    6070     506    6070 |    1013     506    1013 |    0.2   17.6    0.8
20   |   255 |    4314 |    7082     507    7082 |    1015     507    1015 |    0.1   24.3    1.0
21   |   254 |    3802 |    7062     508    7062 |    1015     508    1015 |    0.2   18.2    0.8
22   |   255 |    4311 |    7081     508    7081 |    1015     508    1015 |    0.2   24.0    0.9
23   |   255 |    4316 |    7086     507    7086 |    1014     507    1014 |    0.2   23.6    0.9
24   |   255 |    4321 |    7089     507    7089 |    1015     507    1015 |    0.1   23.7    0.9
25   |   255 |    4320 |    7086     507    7086 |    1014     507    1014 |    0.1   23.4    0.9
26   |   255 |    4311 |    7067     507    7067 |    1013     507    1013 |    0.1   24.0    0.9
27   |   255 |    4307 |    7083     508    7083 |    1016     508    1016 |    0.2   23.4    0.9
28   |   255 |    4320 |    7092     507    7092 |    1015     507    1015 |    0.1   23.6    0.9
29   |   254 |    4296 |    7075     506    7075 |    1013     506    1013 |    0.2   23.6    0.9
30   |   254 |    3536 |    7024     509    7024 |    1019     509    1019 |    0.2   17.2    0.8
31   |   254 |    3015 |    6063     506    6063 |    1012     506    1012 |    0.1   18.0    0.8
32   |   255 |    4292 |    7058     505    7058 |    1012     505    1012 |    0.1   22.9    0.9
33   |   255 |    4312 |    7071     506    7071 |    1014     506    1014 |    0.1   23.2    0.9
34   |   255 |    4305 |    7079     506    7079 |    1014     507    1014 |    0.1   24.1    1.0
35   |   254 |    4297 |    7064     505    7064 |    1012     505    1012 |    0.2   23.7    0.9
36   |   254 |    4302 |    7072     506    7072 |    1013     506    1013 |    0.1   23.3    0.9
37   |   254 |    2778 |    7067     506    7067 |    1013     506    1013 |    0.1   22.8    0.9
38   |   255 |    4319 |    7084     508    7084 |    1016     508    1016 |    0.2   23.8    0.9
39   |   254 |    4299 |    7063     506    7063 |    1012     506    1012 |    0.2   16.8    0.8
40   |   255 |    4321 |    7084     508    7084 |    1015     508    1015 |    0.1   23.5    0.9
41   |   254 |    3520 |    7035     507    7035 |    1014     507    1014 |    0.2   17.2    0.8
42   |   255 |    4295 |    6072     506    6072 |    1013     506    1013 |    0.1   17.4    0.8
43   |   255 |    3288 |    7082     507    7082 |    1013     507    1013 |    0.1   16.8    0.8
44   |   255 |    4305 |    7078     508    7078 |    1015     508    1015 |    0.2   17.2    0.8
45   |   254 |    4297 |    7068     506    7068 |    1012     506    1012 |    0.1   23.1    0.9
46   |   254 |    3285 |    7068     507    7068 |    1014     507    1014 |    0.2   17.3    0.8
47   |   253 |    4287 |    6063     506    6063 |    1011     506    1011 |    0.1   17.0    0.8
48   |   255 |    4304 |    7064     507    7064 |    1013     507    1013 |    0.1   22.9    0.9
49   |   254 |    4290 |    7065     506    7065 |    1011     506    1011 |    0.1   23.0    0.9
50   |   255 |    4323 |    7091     507    7091 |    1015     507    1015 |    0.2   24.5    1.0
51   |   254 |    4297 |    7078     506    7078 |    1013     506    1013 |    0.1   23.8    0.9
52   |   255 |    4318 |    7085     507    7085 |    1014     507    1014 |    0.1   23.6    0.9
53   |   255 |    4297 |    7042     506    7042 |    1013     506    1013 |    0.1   23.2    0.9
54   |   255 |    4314 |    7079     507    7079 |    1016     507    1016 |    0.2   22.6    0.9
55   |   255 |    4304 |    7087     507    7087 |    1014     507    1014 |    0.1   24.4    0.9
56   |   255 |    4327 |    7084     509    7084 |    1018     509    1018 |    0.1   23.1    0.9
57   |   255 |    4308 |    7071     507    7071 |    1013     507    1013 |    0.1   23.8    0.9
58   |   249 |    2746 |    6947     507    6947 |    1014     507    1014 |    0.1   16.1    0.8
59   |   254 |    4287 |    7069     506    7069 |    1012     506    1012 |    0.1   17.4    0.8
60   |   255 |    4300 |    7051     505    7051 |    1013     505    1013 |    0.2   23.7    0.9
61   |   254 |    4309 |    7082     507    7082 |    1013     507    1013 |    0.1   23.3    0.9
62   |   255 |    4284 |    7028     506    7028 |    1013     506    1013 |    0.1   22.7    0.9
63   |   255 |    4311 |    7075     508    7075 |    1016     508    1016 |    0.1   22.6    0.9
64   |   255 |    2791 |    7085     508    7085 |    1016     508    1016 |    0.1   22.8    0.9
65   |   255 |    3021 |    6061     506    6061 |    1013     506    1013 |    0.1   16.9    0.8
66   |   255 |    4320 |    7087     508    7087 |    1016     508    1016 |    0.2   23.4    1.0
67   |   255 |    4312 |    7075     507    7075 |    1013     507    1013 |    0.1   24.2    0.9
68   |   254 |    4307 |    7077     506    7077 |    1013     506    1013 |    0.1   23.3    0.9
69   |   255 |    4317 |    7092     507    7092 |    1015     507    1015 |    0.1   24.4    0.9
70   |   255 |    2788 |    7095     507    7095 |    1016     507    1016 |    0.1   23.3    0.9
71   |   255 |    4325 |    7099     508    7099 |    1016     508    1016 |    0.2   23.6    0.9
72   |   255 |    4308 |    7087     507    7087 |    1014     507    1014 |    0.2   23.1    0.9
73   |   255 |    4304 |    7067     506    7067 |    1013     506    1013 |    0.1   22.6    0.9
74   |   254 |    4294 |    6067     506    6067 |    1012     506    1012 |    0.1   17.1    0.8
75   |   255 |    4305 |    7073     505    7073 |    1013     506    1013 |    0.1   22.8    0.9
76   |   254 |    4285 |    7049     507    7049 |    1015     507    1015 |    0.2   23.0    0.9
77   |   255 |    4316 |    7092     508    7092 |    1017     508    1017 |    0.2   22.7    0.9
78   |   254 |    4303 |    7060     507    7060 |    1014     507    1014 |    0.1   23.7    0.9
79   |   255 |    2782 |    7084     507    7084 |    1014     507    1014 |    0.2   23.3    0.9
80   |   253 |    4263 |    6034     506    6034 |    1012     506    1012 |    0.2   17.1    0.8
81   |   254 |    4290 |    7061     505    7061 |    1011     505    1011 |    0.2   24.4    0.9
82   |   255 |    4316 |    7093     507    7093 |    1015     507    1015 |    0.1   23.6    0.9
83   |   255 |    4311 |    7082     507    7082 |    1013     507    1013 |    0.1   24.4    1.0
84   |   251 |    4221 |    6976     506    6976 |    1012     506    1012 |    0.2   18.3    0.8
85   |   255 |    4321 |    7089     507    7089 |    1015     508    1015 |    0.2   27.1    1.0
86   |   255 |    4308 |    7083     507    7083 |    1014     507    1014 |    0.3   26.4    0.9
87   |   255 |    4316 |    7084     507    7084 |    1015     507    1015 |    0.2   27.7    1.2
88   |   255 |    2784 |    7082     507    7082 |    1015     507    1015 |    0.2   24.9    1.0
89   |   255 |    4292 |    7068     508    7068 |    1015     508    1015 |    0.2   17.9    0.8
90   |   255 |    3288 |    7078     507    7078 |    1014     507    1014 |    0.2   17.7    0.8
91   |   255 |    4299 |    6077     507    6077 |    1013     507    1013 |    0.1   17.0    0.8
92   |   253 |    4279 |    7057     505    7057 |    1010     505    1010 |    0.2   24.2    1.0
93   |   255 |    4302 |    7064     507    7064 |    1015     507    1015 |    0.2   23.6    0.9
94   |   255 |    4310 |    7078     507    7078 |    1014     507    1014 |    0.2   23.8    0.9
95   |   255 |    3301 |    7085     508    7085 |    1017     508    1017 |    0.1   22.7    0.9
96   |   254 |    4271 |    7009     508    7009 |    1019     509    1019 |    0.2   17.7    0.8
97   |   255 |    4299 |    6078     507    6078 |    1014     507    1014 |    0.1   17.2    0.8
98   |   253 |    4265 |    6042     506    6042 |    1011     506    1011 |    0.1   17.7    0.8
99   |   255 |    3523 |    6065     506    6065 |    1014     507    1014 |    0.2   18.1    0.8
100  |   255 |    4292 |    7071     506    7071 |    1013     506    1013 |    0.1   17.6    0.8
101  |   255 |    4305 |    7082     506    7082 |    1014     507    1014 |    0.1   24.5    0.9
102  |   255 |    4310 |    7078     507    7078 |    1013     507    1013 |    0.1   24.3    0.9
103  |   255 |    4297 |    7074     506    7074 |    1012     506    1012 |    0.2   24.3    0.9
104  |   255 |    4294 |    6069     506    6069 |    1013     506    1013 |    0.2   17.5    0.8
105  |   255 |    4285 |    7031     507    7031 |    1015     507    1015 |    0.2   22.9    0.9
106  |   255 |    4319 |    7083     508    7083 |    1016     508    1016 |    0.2   24.8    0.9
107  |   255 |    4327 |    7097     508    7097 |    1016     508    1016 |    0.1   23.0    0.9
108  |   255 |    4313 |    7076     507    7076 |    1015     508    1015 |    0.2   24.0    0.9
109  |   255 |    4303 |    7069     506    7069 |    1012     506    1012 |    0.2   23.2    0.9
110  |   255 |    3275 |    6059     507    6059 |    1013     507    1013 |    0.2   16.9    0.8
111  |   255 |    4311 |    7080     507    7080 |    1014     507    1014 |    0.2   23.6    0.9
112  |   255 |    4327 |    7096     508    7096 |    1017     508    1017 |    0.2   23.4    0.9
113  |   255 |    4315 |    7074     507    7074 |    1015     507    1015 |    0.1   23.8    0.9
114  |   253 |    4289 |    6063     505    6063 |    1011     505    1011 |    0.1   17.1    0.8
115  |   255 |    2762 |    7044     506    7044 |    1013     506    1013 |    0.1   17.3    0.8
116  |   253 |    4287 |    7055     505    7055 |    1011     505    1011 |    0.2   22.7    0.9
117  |   255 |    4301 |    7081     507    7081 |    1015     507    1015 |    0.2   24.0    0.9
118  |   255 |    4314 |    7078     510    7078 |    1019     510    1019 |    0.2   16.8    0.8
119  |   255 |    3026 |    6066     507    6066 |    1013     507    1013 |    0.1   18.1    0.8
120  |   254 |    4293 |    6068     506    6068 |    1013     506    1013 |    0.2   17.4    0.8
121  |   254 |    4302 |    7073     506    7073 |    1013     507    1013 |    0.3   23.6    0.9
122  |   255 |    4306 |    7087     507    7087 |    1014     507    1014 |    0.1   23.1    0.9
123  |   255 |    4317 |    7082     507    7082 |    1014     507    1014 |    0.1   23.1    0.9
124  |   255 |    4315 |    7090     507    7090 |    1014     507    1014 |    0.2   23.9    0.9
125  |   252 |    4270 |    6042     505    6042 |    1010     505    1010 |    0.2   17.3    0.8
126  |   255 |    3019 |    6059     507    6059 |    1014     507    1014 |    0.1   16.8    0.8
127  |   255 |    4328 |    7101     508    7101 |    1016     508    1016 |    0.2   23.8    0.9
128  |   255 |    4326 |    7084     508    7084 |    1017     508    1017 |    0.1   23.8    0.9
129  |   255 |    4301 |    7059     506    7059 |    1013     506    1013 |    0.1   16.7    0.8
130  |   253 |    4272 |    6036     505    6036 |    1011     506    1011 |    0.1   16.5    0.8
131  |   255 |    4305 |    7081     507    7081 |    1014     507    1014 |    0.1   23.1    0.9
132  |   255 |    4320 |    7079     509    7079 |    1017     509    1017 |    0.2   22.4    0.9
133  |   255 |    4322 |    7092     507    7092 |    1015     507    1015 |    0.1   23.3    0.9
134  |   255 |    4324 |    7092     508    7092 |    1016     508    1016 |    0.1   23.8    0.9
135  |   255 |    4327 |    7100     508    7100 |    1016     508    1016 |    0.1   23.4    0.9
136  |   255 |    4315 |    7081     507    7081 |    1014     507    1014 |    0.1   23.0    0.9
137  |   254 |    4295 |    7077     506    7077 |    1013     507    1013 |    0.2   23.1    0.9
138  |   255 |    3296 |    7088     507    7088 |    1015     507    1015 |    0.2   17.8    0.8
139  |   254 |    4295 |    7069     506    7069 |    1012     506    1012 |    0.1   22.8    0.9
140  |   255 |    4311 |    7076     507    7076 |    1013     506    1013 |    0.1   17.2    0.8
141  |   254 |    4302 |    7078     507    7078 |    1013     507    1013 |    0.1   23.3    0.9
142  |   255 |    4315 |    7082     507    7082 |    1015     507    1015 |    0.1   23.0    0.9
143  |   255 |    4277 |    6057     507    6057 |    1014     507    1014 |    0.2   17.7    0.9
144  |   255 |    4321 |    7087     508    7087 |    1016     508    1016 |    0.2   25.4    1.0
145  |   255 |    4275 |    6049     506    6049 |    1013     506    1013 |    0.1   17.7    0.8
146  |   255 |    4307 |    7084     507    7084 |    1014     507    1014 |    0.2   22.9    0.9
147  |   255 |    4318 |    7083     507    7083 |    1015     507    1015 |    0.1   22.7    0.9
148  |   255 |    4315 |    7079     508    7079 |    1016     508    1016 |    0.2   23.9    0.9
149  |   255 |    4319 |    7089     507    7089 |    1015     507    1015 |    0.2   18.2    0.8
150  |   255 |    4276 |    6051     507    6051 |    1014     506    1014 |    0.2   16.9    0.8
151  |   255 |    4267 |    6041     506    6041 |    1013     506    1013 |    0.1   17.4    0.8
152  |   255 |    4310 |    7078     507    7078 |    1014     507    1014 |    0.2   23.6    0.9
153  |   254 |    4297 |    7058     506    7058 |    1012     506    1012 |    0.2   21.9    0.9
154  |   255 |    4307 |    7072     506    7072 |    1013     506    1013 |    0.1   25.0    0.9
155  |   255 |    4321 |    7091     507    7091 |    1015     507    1015 |    0.2   23.7    0.9
156  |   255 |    4305 |    7080     507    7080 |    1014     507    1014 |    0.1   23.2    0.9
157  |   255 |    4285 |    6062     506    6062 |    1013     506    1013 |    0.1   17.2    0.8
158  |   255 |    4302 |    7061     506    7061 |    1013     506    1013 |    0.1   25.3    0.9
159  |   254 |    4301 |    7067     506    7067 |    1012     506    1012 |    0.2   24.0    0.9
160  |   255 |    4299 |    7060     506    7060 |    1012     506    1012 |    0.2   23.5    0.9
161  |   251 |    4230 |    6962     506    6962 |    1012     506    1012 |    0.2   16.8    0.8
162  |   255 |    4305 |    7082     507    7082 |    1014     507    1014 |    0.1   23.1    0.9
163  |   255 |    2772 |    7073     506    7073 |    1014     506    1014 |    0.2   23.0    0.9
164  |   254 |    2750 |    6009     505    6009 |    1011     505    1011 |    0.1   17.2    0.8
165  |   255 |    4311 |    7074     506    7074 |    1015     507    1015 |    0.1   24.0    0.9
166  |   255 |    4313 |    7088     508    7088 |    1016     508    1016 |    0.1   23.0    0.9
167  |   255 |    4306 |    7086     507    7086 |    1014     507    1014 |    0.2   23.7    0.9
168  |   254 |    4299 |    7072     506    7072 |    1013     506    1013 |    0.2   22.5    0.9
169  |   254 |    4290 |    7061     506    7061 |    1012     506    1012 |    0.2   23.2    0.9
170  |   255 |    3295 |    7085     507    7085 |    1015     507    1015 |    0.2   17.6    0.8
171  |   255 |    3030 |    7082     508    7082 |    1016     508    1016 |    0.1   22.8    0.9
172  |   255 |    4322 |    7097     508    7097 |    1016     508    1016 |    0.1   23.9    0.9
173  |   254 |    4299 |    7072     506    7072 |    1012     506    1012 |    0.2   23.4    0.9
174  |   253 |    4281 |    7042     505    7042 |    1011     505    1011 |    0.1   23.5    0.9
175  |   255 |    4324 |    7090     508    7090 |    1016     508    1016 |    0.2   23.6    0.9
176  |   253 |    4273 |    7037     506    7037 |    1014     506    1014 |    0.2   17.5    0.8
177  |   255 |    3812 |    7087     508    7087 |    1016     508    1016 |    0.1   23.2    0.9
178  |   255 |    4319 |    7089     507    7089 |    1014     507    1014 |    0.1   23.1    0.9
179  |   254 |    2776 |    7068     506    7068 |    1012     506    1012 |    0.1   23.5    0.9
180  |   255 |    4300 |    7075     507    7075 |    1013     506    1013 |    0.1   23.8    0.9
181  |   254 |    4267 |    6044     505    6044 |    1012     506    1012 |    0.1   17.0    0.8
182  |   255 |    4326 |    7095     508    7095 |    1015     508    1015 |    0.1   23.7    0.9
183  |   251 |    4247 |    6014     505    6014 |    1010     505    1010 |    0.1   17.0    0.8
184  |   255 |    3545 |    7070     508    7070 |    1015     508    1015 |    0.2   17.3    0.8
185  |   255 |    4320 |    7091     508    7091 |    1016     508    1016 |    0.1   23.4    0.9
186  |   255 |    4305 |    7065     506    7065 |    1013     506    1013 |    0.1   31.3    1.3
187  |   255 |    4309 |    7084     507    7084 |    1015     507    1015 |    0.2   26.6    0.9
188  |   255 |    4321 |    7079     508    7079 |    1017     508    1017 |    0.2   24.6    0.9
189  |   255 |    3561 |    7068     508    7068 |    1017     508    1017 |    0.2   17.8    0.8
190  |   255 |    4320 |    7083     508    7083 |    1017     508    1017 |    0.2   23.7    0.9
191  |   254 |    4297 |    7073     506    7073 |    1012     506    1012 |    0.1   23.9    0.9
192  |   255 |    4300 |    7076     507    7076 |    1014     507    1014 |    0.2   24.2    0.9
