=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2124.77 ms
  Set 2: 1952.53 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   193 |    3257 |    5343     383    5343 |     767     383     767 |    0.1   12.6    0.7
1    |   193 |    2495 |    5356     385    5356 |     768     384     768 |    0.2    9.9    0.6
2    |   194 |    2867 |    5345     385    5345 |     772     385     772 |    0.1    9.3    0.6
3    |   194 |    3201 |    5306     383    5306 |     767     384     767 |    0.1    9.1    0.6
4    |   194 |    3278 |    5378     385    5378 |     770     385     770 |    0.1   12.5    0.7
5    |   194 |    3281 |    5363     386    5363 |     772     386     772 |    0.1   12.2    0.7
6    |   194 |    3263 |    5363     384    5363 |     769     384     769 |    0.1   12.2    0.7
7    |   194 |    3281 |    5373     385    5373 |     771     385     771 |    0.1   12.5    0.7
8    |   193 |    3270 |    5365     385    5365 |     770     385     770 |    0.1   11.7    0.7
9    |   194 |    3286 |    5376     385    5376 |     771     385     771 |    0.1   12.5    0.7
10   |   194 |    3263 |    5344     384    5344 |     768     384     768 |    0.1   12.0    0.7
11   |   194 |    3266 |    5343     384    5343 |     768     384     768 |    0.1   12.1    0.7
12   |   192 |    3247 |    5337     383    5337 |     766     383     766 |    0.1   12.4    0.7
13   |   193 |    3259 |    5357     383    5357 |     768     384     768 |    0.1   12.4    0.7
14   |   194 |    3274 |    5355     385    5355 |     771     385     771 |    0.1   12.9    0.7
15   |   194 |    3267 |    5366     384    5366 |     769     384     769 |    0.1   12.6    0.7
16   |   194 |    3281 |    5367     385    5367 |     771     385     771 |    0.1   12.5    0.7
17   |   194 |    3260 |    5327     384    5327 |     768     384     768 |    0.1   14.5    1.0
18   |   194 |    3284 |    5373     385    5373 |     770     385     770 |    0.3   14.5    0.9
19   |   194 |    3278 |    5362     385    5362 |     771     385     771 |    0.2   13.3    0.7
20   |   194 |    3254 |    5367     384    5367 |     768     384     768 |    0.1   12.7    0.7
21   |   191 |    3235 |    4580     383    4580 |     765     383     765 |    0.1    9.5    0.6
22   |   194 |    3264 |    5365     384    5365 |     768     384     768 |    0.1   12.5    0.7
23   |   193 |    2280 |    4587     383    4587 |     767     383     767 |    0.1    9.2    0.6
24   |   194 |    3264 |    5355     384    5355 |     767     384     767 |    0.1   12.9    0.7
25   |   194 |    3274 |    5370     384    5370 |     770     385     770 |    0.1   12.8    0.7
26   |   194 |    3280 |    5376     385    5376 |     770     385     770 |    0.1   12.6    0.7
27   |   194 |    3284 |    5378     385    5378 |     770     385     770 |    0.1   12.5    0.7
28   |   194 |    2283 |    4598     385    4598 |     769     385     769 |    0.1    9.3    0.6
29   |   193 |    3270 |    5371     384    5371 |     769     384     769 |    0.1   12.6    0.7
30   |   193 |    3250 |    5336     383    5336 |     767     383     767 |    0.1   12.6    0.7
31   |   194 |    3280 |    5373     385    5373 |     770     385     770 |    0.1   12.5    0.7
32   |   194 |    3286 |    5371     385    5371 |     771     385     771 |    0.2   12.2    0.7
33   |   194 |    3273 |    5365     385    5365 |     770     385     770 |    0.1   12.7    0.7
34   |   194 |    3279 |    5368     385    5368 |     769     385     769 |    0.1   12.7    0.7
35   |   194 |    3275 |    5362     384    5362 |     767     384     767 |    0.1   13.0    0.7
36   |   193 |    3252 |    5351     383    5351 |     767     383     767 |    0.1   12.7    0.7
37   |   194 |    3275 |    5347     385    5347 |     770     385     770 |    0.2   13.3    0.7
38   |   193 |    3264 |    5366     384    5366 |     768     384     768 |    0.2   13.6    0.7
39   |   192 |    3242 |    5341     383    5341 |     766     383     766 |    0.2   13.6    0.7
40   |   194 |    2098 |    4591     383    4591 |     768     384     768 |    0.2    9.7    0.6
41   |   194 |    3287 |    5381     385    5381 |     771     385     771 |    0.2   13.2    0.7
42   |   194 |    3252 |    4599     384    4599 |     768     384     768 |    0.2    9.2    0.6
43   |   194 |    3287 |    5377     386    5377 |     772     386     772 |    0.2   12.7    0.7
44   |   193 |    3268 |    4609     384    4609 |     769     384     769 |    0.2    9.8    0.6
45   |   193 |    3257 |    5349     384    5349 |     767     384     767 |    0.2   13.3    0.7
46   |   194 |    3271 |    5360     384    5360 |     768     384     768 |    0.1   12.7    0.7
47   |   193 |    3240 |    5316     386    5316 |     773     386     773 |    0.2   12.1    0.7
48   |   194 |    3255 |    5339     384    5339 |     767     384     767 |    0.1   12.5    0.7
49   |   193 |    3266 |    5356     385    5356 |     770     385     770 |    0.1   12.7    0.7
50   |   194 |    3266 |    5365     384    5365 |     769     385     769 |    0.1   12.7    0.7
51   |   194 |    3279 |    5369     386    5369 |     772     386     772 |    0.1   12.2    0.7
52   |   194 |    3284 |    5377     386    5377 |     771     386     771 |    0.1   12.0    0.7
53   |   194 |    3282 |    5377     386    5377 |     771     386     771 |    0.1   11.8    0.7
54   |   191 |    3206 |    4551     383    4551 |     765     383     765 |    0.1    8.9    0.6
55   |   194 |    3259 |    5362     384    5362 |     769     384     769 |    0.1   13.0    0.7
56   |   192 |    3252 |    5353     383    5353 |     768     384     768 |    0.1   12.5    0.7
57   |   194 |    3273 |    5366     385    5366 |     770     385     770 |    0.1   12.5    0.7
58   |   194 |    3256 |    5364     384    5364 |     768     384     768 |    0.1   12.4    0.7
59   |   194 |    3286 |    5377     385    5377 |     770     385     770 |    0.1   12.9    0.7
60   |   194 |    2897 |    5381     385    5381 |     771     385     771 |    0.1    9.5    0.6
61   |   194 |    3279 |    5362     385    5362 |     771     385     771 |    0.1   12.4    0.7
62   |   194 |    3285 |    5376     385    5376 |     771     385     771 |    0.1   12.1    0.7
