=== L5 alg2 10k ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 10000

Generating 10000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 88337.19 ms
  Set 2: 88901.96 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   255 |    4313 |    7083     507    7083 |    1014     507    1014 |    2.2   24.2    0.9
1    |   255 |    4313 |    7082     508    7082 |    1015     508    1015 |    0.2   25.2    1.2
2    |   255 |    4317 |    7085     508    7085 |    1016     508    1016 |    0.3   25.1    1.0
3    |   255 |    2776 |    7084     507    7084 |    1014     507    1014 |    0.2   26.2    1.2
4    |   255 |    4304 |    7063     506    7063 |    1013     506    1013 |    0.3   25.4    0.9
5    |   255 |    4326 |    7085     508    7085 |    1016     508    1016 |    0.2   26.6    0.9
6    |   255 |    4324 |    7096     507    7096 |    1015     508    1015 |    0.2   25.2    0.9
7    |   254 |    2780 |    7081     507    7081 |    1013     507    1013 |    0.2   25.1    0.9
8    |   255 |    4318 |    7090     507    7090 |    1015     507    1015 |    0.2   24.7    0.9
9    |   255 |    4328 |    7090     508    7090 |    1017     508    1017 |    0.3   26.1    1.0
10   |   254 |    4300 |    7078     506    7078 |    1013     506    1013 |    0.2   25.3    0.9
11   |   255 |    4316 |    7086     508    7086 |    1015     508    1015 |    0.2   25.5    1.0
12   |   255 |    4315 |    7085     508    7085 |    1016     508    1016 |    0.2   24.7    0.9
13   |   255 |    4304 |    7080     507    7080 |    1014     507    1014 |    0.2   24.2    0.9
14   |   254 |    4299 |    7069     506    7069 |    1012     506    1012 |    0.2   26.1    1.0
15   |   253 |    4285 |    6059     506    6059 |    1011     506    1011 |    0.2   17.9    0.8
16   |   255 |    4316 |    7086     507    7086 |    1014     507    1014 |    0.2   27.6    0.9
17   |   255 |    4313 |    7086     507    7086 |    1015     507    1015 |    0.2   25.9    1.0
18   |   254 |    4290 |    6068     506    6068 |    1012     506    1012 |    0.2   18.9    0.8
19   |   255 |    4319 |    7082     507    7082 |    1013     507    1013 |    0.2   27.8    1.0
20   |   255 |    4279 |    6057     506    6057 |    1013     506    1013 |    0.2   19.3    0.8
21   |   255 |    4310 |    7071     507    7071 |    1015     507    1015 |    0.2   25.9    1.0
22   |   255 |    4326 |    7097     508    7097 |    1016     508    1016 |    0.2   26.4    1.0
23   |   255 |    4298 |    6074     506    6074 |    1013     506    1013 |    0.2   18.8    0.8
24   |   255 |    4302 |    6076     507    6076 |    1013     507    1013 |    0.2   18.6    0.9
25   |   255 |    4318 |    7089     507    7089 |    1015     507    1015 |    0.2   25.6    1.0
26   |   255 |    4317 |    7075     508    7075 |    1017     508    1017 |    0.2   26.6    1.0
27   |   254 |    4307 |    7076     506    7076 |    1013     506    1013 |    0.2   25.7    1.0
28   |   255 |    4324 |    7093     508    7093 |    1015     508    1015 |    0.2   26.0    1.0
29   |   255 |    4325 |    7092     508    7092 |    1016     508    1016 |    0.2   25.7    1.0
30   |   255 |    3290 |    7086     507    7086 |    1014     507    1014 |    0.2   25.9    1.0
31   |   255 |    2782 |    7082     507    7082 |    1015     507    1015 |    0.2   26.3    1.0
32   |   254 |    4309 |    7078     507    7078 |    1015     507    1015 |    0.3   18.5    0.8
33   |   254 |    4304 |    7079     507    7079 |    1014     507    1014 |    0.2   24.9    1.0
34   |   255 |    4283 |    6064     506    6064 |    1013     506    1013 |    0.3   20.2    1.4
35   |   254 |    4301 |    7078     506    7078 |    1013     506    1013 |    0.3   27.3    1.0
36   |   254 |    4307 |    7078     507    7078 |    1013     507    1013 |    0.2   26.9    1.1
37   |   255 |    4315 |    7082     507    7082 |    1015     508    1015 |    0.2   25.2    1.1
38   |   254 |    3255 |    7020     507    7020 |    1014     507    1014 |    0.3   18.9    0.8
39   |   255 |    4329 |    7097     508    7097 |    1016     508    1016 |    0.2   26.1    0.9
40   |   254 |    3281 |    7056     507    7056 |    1014     507    1014 |    0.2   22.1    0.8
41   |   255 |    4296 |    7054     505    7054 |    1013     505    1013 |    0.3   26.9    0.9
42   |   255 |    4299 |    7067     506    7067 |    1013     506    1013 |    0.2   25.1    1.0
43   |   253 |    4282 |    6055     505    6055 |    1010     505    1010 |    0.2   21.4    0.9
44   |   255 |    4320 |    7087     507    7087 |    1015     507    1015 |    0.2   26.7    1.0
45   |   255 |    4295 |    7063     506    7063 |    1013     506    1013 |    0.2   26.1    1.0
46   |   255 |    2779 |    6078     507    6078 |    1013     507    1013 |    0.2   19.3    0.9
47   |   252 |    4267 |    6042     505    6042 |    1010     505    1010 |    0.2   18.0    0.8
48   |   255 |    4322 |    7091     508    7091 |    1015     508    1015 |    0.2   25.5    0.9
49   |   255 |    4313 |    7088     507    7088 |    1015     507    1015 |    0.2   25.2    1.0
50   |   254 |    4283 |    7042     505    7042 |    1011     505    1011 |    0.2   24.2    1.0
51   |   255 |    4315 |    7076     506    7076 |    1013     506    1013 |    0.3   24.1    0.9
52   |   255 |    4320 |    7083     508    7083 |    1016     508    1016 |    0.2   25.2    1.0
53   |   255 |    4291 |    6073     506    6073 |    1013     506    1013 |    0.3   17.9    0.8
54   |   255 |    4319 |    7085     508    7085 |    1015     508    1015 |    0.2   24.8    0.9
55   |   255 |    4305 |    7076     507    7076 |    1016     508    1016 |    0.2   23.6    0.9
56   |   255 |    4291 |    6069     507    6069 |    1013     506    1013 |    0.2   18.2    0.8
57   |   255 |    4305 |    7075     507    7075 |    1015     507    1015 |    0.2   24.5    1.1
58   |   252 |    4268 |    6041     505    6041 |    1010     505    1010 |    0.2   18.7    0.9
59   |   255 |    3298 |    7086     507    7086 |    1014     507    1014 |    0.2   19.3    1.0
60   |   255 |    4293 |    7038     505    7038 |    1013     505    1013 |    0.2   24.9    0.9
61   |   254 |    4306 |    7076     507    7076 |    1013     507    1013 |    0.2   24.7    0.9
62   |   255 |    4319 |    7091     507    7091 |    1015     507    1015 |    0.2   19.0    0.8
63   |   255 |    4309 |    7077     506    7077 |    1012     506    1012 |    0.2   26.3    1.0
64   |   255 |    4315 |    7089     508    7089 |    1016     508    1016 |    0.3   18.2    0.8
65   |   254 |    4308 |    7074     507    7074 |    1014     507    1014 |    0.2   25.3    0.9
66   |   255 |    4302 |    7081     507    7081 |    1014     507    1014 |    0.2   25.5    1.0
67   |   255 |    4321 |    7095     508    7095 |    1016     508    1016 |    0.2   25.1    1.0
68   |   255 |    4325 |    7088     508    7088 |    1016     508    1016 |    0.2   23.9    1.0
69   |   254 |    4289 |    6064     506    6064 |    1012     506    1012 |    0.2   19.1    0.8
70   |   255 |    4317 |    6084     507    6084 |    1015     507    1015 |    0.2   19.4    1.0
71   |   255 |    4315 |    7087     508    7087 |    1016     508    1016 |    0.2   25.9    1.0
72   |   253 |    4282 |    7051     506    7051 |    1011     506    1011 |    0.2   24.9    1.0
73   |   254 |    2776 |    7073     507    7073 |    1013     507    1013 |    0.2   25.6    1.0
74   |   255 |    2791 |    7088     507    7088 |    1014     507    1014 |    0.2   18.6    0.8
75   |   255 |    4317 |    7089     508    7089 |    1015     508    1015 |    0.2   25.8    0.9
76   |   255 |    4306 |    7082     507    7082 |    1014     507    1014 |    0.2   24.6    1.0
77   |   253 |    4285 |    6056     505    6056 |    1011     505    1011 |    0.2   19.0    0.9
78   |   254 |    4288 |    6063     506    6063 |    1012     506    1012 |    0.2   18.2    0.8
79   |   254 |    4270 |    7020     505    7020 |    1011     505    1011 |    0.2   26.8    0.9
80   |   255 |    2788 |    7084     508    7084 |    1016     508    1016 |    0.3   23.9    1.0
81   |   255 |    4324 |    7089     508    7089 |    1016     508    1016 |    0.2   24.2    0.9
82   |   255 |    4322 |    7086     508    7086 |    1017     508    1017 |    0.3   25.2    1.0
83   |   255 |    4321 |    7081     508    7081 |    1016     508    1016 |    0.2   25.5    1.0
84   |   255 |    4317 |    7091     508    7091 |    1015     508    1015 |    0.2   25.8    1.0
85   |   254 |    4297 |    7074     506    7074 |    1012     506    1012 |    0.2   26.4    1.0
86   |   254 |    4284 |    7041     506    7041 |    1014     506    1014 |    0.3   26.0    0.9
87   |   255 |    4308 |    7070     506    7070 |    1013     506    1013 |    0.2   18.8    0.8
88   |   254 |    4275 |    6051     506    6051 |    1012     506    1012 |    0.2   18.8    1.1
89   |   254 |    2991 |    7037     507    7037 |    1015     507    1015 |    0.2   17.9    0.8
90   |   254 |    4279 |    7057     506    7057 |    1011     506    1011 |    0.2   18.6    0.8
91   |   255 |    4321 |    7076     508    7076 |    1017     508    1017 |    0.3   26.8    1.0
92   |   255 |    4273 |    6051     507    6051 |    1014     507    1014 |    0.2   18.2    0.8
93   |   254 |    4305 |    7075     507    7075 |    1015     507    1015 |    0.2   24.9    1.0
94   |   255 |    4325 |    7099     508    7099 |    1016     508    1016 |    0.2   25.3    1.3
95   |   255 |    4313 |    7079     508    7079 |    1016     508    1016 |    0.3   25.3    1.0
96   |   255 |    4295 |    6072     506    6072 |    1013     506    1013 |    0.2   18.2    0.8
97   |   255 |    3753 |    6034     507    6034 |    1014     507    1014 |    0.3   18.4    0.8
98   |   255 |    3023 |    6066     506    6066 |    1013     506    1013 |    0.2   18.9    0.8
99   |   255 |    4325 |    7096     508    7096 |    1016     508    1016 |    0.2   26.0    1.0
100  |   255 |    4257 |    7029     508    7029 |    1016     508    1016 |    0.3   19.0    0.8
101  |   255 |    4308 |    7084     507    7084 |    1014     507    1014 |    0.2   25.1    0.9
102  |   255 |    3267 |    6050     506    6050 |    1014     506    1014 |    0.2   20.8    0.8
103  |   254 |    4290 |    7052     505    7052 |    1012     505    1012 |    0.2   27.5    0.9
104  |   255 |    4311 |    7071     507    7071 |    1014     507    1014 |    0.2   25.4    0.9
105  |   254 |    2762 |    6059     506    6059 |    1012     506    1012 |    0.2   19.8    0.8
106  |   255 |    4312 |    7073     508    7073 |    1014     507    1014 |    0.2   26.0    0.9
107  |   255 |    4265 |    6048     506    6048 |    1013     506    1013 |    0.2   18.6    0.8
108  |   255 |    4311 |    7064     507    7064 |    1014     507    1014 |    0.2   26.4    1.0
109  |   255 |    4320 |    7088     507    7088 |    1014     507    1014 |    0.3   28.6    1.0
110  |   255 |    4317 |    7087     507    7087 |    1014     507    1014 |    0.2   26.7    0.9
111  |   255 |    4320 |    7091     508    7091 |    1016     508    1016 |    0.2   26.5    1.0
112  |   254 |    4298 |    7062     505    7062 |    1012     505    1012 |    0.3   28.5    1.0
113  |   254 |    4302 |    7079     507    7079 |    1014     507    1014 |    0.2   25.3    1.0
