=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2035.81 ms
  Set 2: 2033.84 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
68   |   194 |    3287 |    5371     385    5371 |     771     386     771 |    0.1   12.0    2.7
69   |   194 |    3270 |    5364     385    5364 |     770     385     770 |    0.1   12.6    2.7
70   |   194 |    3283 |    5378     385    5378 |     770     385     770 |    0.1   12.4    2.7
71   |   194 |    2825 |    4549     384    4549 |     767     384     767 |    0.1    9.0    2.3
72   |   194 |    3263 |    5365     384    5365 |     769     384     769 |    0.1   12.4    2.6
73   |   194 |    3285 |    5373     385    5373 |     771     385     771 |    0.1   12.8    2.7
74   |   194 |    3256 |    4604     384    4604 |     769     384     769 |    0.1    9.5    2.4
75   |   194 |    3277 |    5376     385    5376 |     770     385     770 |    0.1   12.2    2.6
76   |   194 |    3270 |    5373     384    5373 |     770     385     770 |    0.2   12.4    2.7
77   |   193 |    3250 |    5358     384    5358 |     768     384     768 |    0.1   12.6    2.7
78   |   194 |    3232 |    4580     384    4580 |     768     384     768 |    0.1    9.3    2.3
79   |   194 |    3259 |    4603     384    4603 |     769     384     769 |    0.1    9.1    2.3
80   |   194 |    3282 |    5373     385    5373 |     770     385     770 |    0.1   12.4    2.7
81   |   194 |    3275 |    5371     385    5371 |     770     385     770 |    0.1   12.5    2.8
82   |   194 |    3283 |    5374     385    5374 |     770     385     770 |    0.1   12.5    2.7
83   |   192 |    3253 |    5351     383    5351 |     767     383     767 |    0.1   12.3    2.7
84   |   194 |    2118 |    5365     386    5365 |     772     386     772 |    0.1   12.8    2.9
85   |   193 |    3260 |    5362     384    5362 |     769     384     769 |    0.1   12.5    2.7
86   |   194 |    3279 |    5367     385    5367 |     772     385     772 |    0.1   12.6    2.7
87   |   194 |    3279 |    5364     385    5364 |     770     385     770 |    0.1   13.0    2.8
