=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 4249.02 ms
  Set 2: 4075.41 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   255 |    4321 |    7078     508    7078 |    1016     508    1016 |    0.2   23.4    0.9
1    |   255 |    4303 |    7074     506    7074 |    1012     506    1012 |    0.1   23.1    0.9
2    |   254 |    4300 |    7062     506    7062 |    1014     506    1014 |    0.2   23.3    0.9
3    |   254 |    2764 |    6046     506    6046 |    1012     506    1012 |    0.1   17.6    0.8
4    |   255 |    4318 |    7088     507    7088 |    1015     507    1015 |    0.2   22.8    0.9
5    |   255 |    4321 |    7088     508    7088 |    1016     508    1016 |    0.1   24.5    0.9
6    |   255 |    4322 |    7093     508    7093 |    1015     508    1015 |    0.1   24.2    0.9
7    |   255 |    4305 |    7054     506    7054 |    1013     506    1013 |    0.1   24.1    0.9
8    |   255 |    3005 |    6042     506    6042 |    1013     506    1013 |    0.1   16.9    0.8
9    |   255 |    4292 |    7047     506    7047 |    1013     505    1013 |    0.2   23.7    0.9
10   |   254 |    4293 |    6068     506    6068 |    1013     506    1013 |    0.2   17.6    0.8
11   |   255 |    4320 |    7086     507    7086 |    1015     507    1015 |    0.1   23.0    0.9
12   |   255 |    3268 |    6061     506    6061 |    1013     506    1013 |    0.1   18.3    0.8
13   |   255 |    4309 |    7071     508    7071 |    1017     508    1017 |    0.2   17.3    0.8
14   |   255 |    4308 |    7079     508    7079 |    1015     508    1015 |    0.1   23.9    0.9
15   |   255 |    3033 |    7091     508    7091 |    1016     508    1016 |    0.1   23.8    0.9
16   |   255 |    4310 |    7074     506    7074 |    1013     506    1013 |    0.2   23.6    0.9
17   |   255 |    4313 |    7082     507    7082 |    1015     507    1015 |    0.2   18.0    0.8
18   |   255 |    4312 |    7087     507    7087 |    1015     507    1015 |    0.2   23.4    0.9
19   |   253 |    4267 |    6025     505    6025 |    1011     505    1011 |    0.2   17.0    0.8
20   |   254 |    4283 |    6058     505    6058 |    1011     506    1011 |    0.2   16.7    0.8
21   |   255 |    4307 |    7076     507    7076 |    1015     507    1015 |    0.1   23.6    0.9
22   |   255 |    4319 |    7092     508    7092 |    1015     508    1015 |    0.1   24.1    0.9
23   |   255 |    3026 |    7070     508    7070 |    1016     508    1016 |    0.2   23.1    0.9
24   |   253 |    4284 |    6055     505    6055 |    1011     505    1011 |    0.1   17.3    0.8
25   |   255 |    2795 |    7084     508    7084 |    1016     508    1016 |    0.1   23.3    0.9
26   |   255 |    4314 |    7078     507    7078 |    1015     507    1015 |    0.2   22.6    0.9
27   |   255 |    4314 |    7083     507    7083 |    1015     507    1015 |    0.2   17.9    0.8
28   |   255 |    4303 |    7081     507    7081 |    1014     507    1014 |    0.2   22.7    0.9
29   |   252 |    4270 |    6038     505    6038 |    1010     505    1010 |    0.2   16.6    0.7
30   |   255 |    3293 |    7078     507    7078 |    1014     507    1014 |    0.1   18.0    0.8
31   |   255 |    4318 |    7090     507    7090 |    1015     507    1015 |    0.2   24.7    0.9
32   |   255 |    4312 |    7051     508    7051 |    1019     508    1019 |    0.2   23.3    0.9
33   |   255 |    4296 |    7047     506    7047 |    1013     506    1013 |    0.2   23.6    0.9
34   |   255 |    4297 |    6073     507    6073 |    1013     507    1013 |    0.1   17.7    0.8
35   |   255 |    4322 |    7092     508    7092 |    1015     508    1015 |    0.2   22.6    0.9
36   |   255 |    3032 |    7085     507    7085 |    1015     507    1015 |    0.1   23.6    0.9
37   |   255 |    4325 |    7092     508    7092 |    1016     508    1016 |    0.2   23.1    0.9
38   |   255 |    2775 |    6075     506    6075 |    1013     507    1013 |    0.1   16.5    0.8
39   |   254 |    4295 |    7064     507    7064 |    1015     507    1015 |    0.1   16.5    0.7
40   |   255 |    4316 |    7091     508    7091 |    1016     508    1016 |    0.1   23.2    0.9
41   |   255 |    4320 |    7087     507    7087 |    1015     507    1015 |    0.1   23.9    0.9
42   |   254 |    4297 |    7073     506    7073 |    1012     506    1012 |    0.2   23.1    0.9
43   |   255 |    4309 |    7067     508    7067 |    1015     508    1015 |    0.2   22.8    0.9
44   |   255 |    2768 |    6044     506    6044 |    1013     506    1013 |    0.1   17.5    0.8
45   |   255 |    4302 |    7072     506    7072 |    1015     507    1015 |    0.1   23.6    0.9
46   |   255 |    4292 |    6067     506    6067 |    1013     506    1013 |    0.1   17.3    0.8
47   |   255 |    4309 |    7082     508    7082 |    1016     508    1016 |    0.1   22.0    0.9
