=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 669.70 ms
  Set 2: 646.85 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   128 |    1775 |    3515     254    3515 |     507     254     507 |    0.1    4.3    1.3
1    |   128 |    1627 |    3509     253    3509 |     506     253     506 |    0.1    3.7    1.1
2    |   127 |    2131 |    3501     251    3501 |     503     251     503 |    0.1    5.0    1.4
3    |   127 |    2147 |    3513     252    3513 |     505     252     505 |    0.1    5.3    1.4
4    |   128 |    1383 |    3526     253    3526 |     507     253     507 |    0.1    5.2    1.4
5    |   128 |    2153 |    3524     253    3524 |     506     253     506 |    0.1    5.2    1.4
6    |   128 |    2151 |    3520     253    3520 |     505     253     505 |    0.1    5.4    1.5
7    |   128 |    2146 |    3518     253    3518 |     506     253     506 |    0.1    5.2    1.4
8    |   128 |    1382 |    3519     253    3519 |     505     253     505 |    0.1    5.3    1.4
9    |   127 |    2130 |    3490     253    3490 |     506     253     506 |    0.1    4.1    1.2
10   |   127 |    2139 |    3516     252    3516 |     504     252     504 |    0.1    5.2    1.4
11   |   128 |    1617 |    3519     252    3519 |     505     252     505 |    0.1    4.2    1.2
12   |   128 |    2155 |    3527     254    3527 |     507     254     507 |    0.1    5.1    1.4
13   |   128 |    2120 |    3012     252    3012 |     505     252     505 |    0.1    4.0    1.2
14   |   128 |    2161 |    3532     253    3532 |     506     253     506 |    0.1    5.2    1.4
15   |   128 |    2156 |    3522     252    3522 |     505     252     505 |    0.1    5.2    1.4
16   |   128 |    2158 |    3527     253    3527 |     507     254     507 |    0.1    5.2    1.4
17   |   128 |    2152 |    3512     253    3512 |     505     253     505 |    0.1    5.4    1.4
18   |   128 |    1493 |    3519     253    3519 |     505     253     505 |    0.1    5.3    1.4
19   |   128 |    1509 |    3527     255    3527 |     509     255     509 |    0.1    5.4    1.4
20   |   128 |    1644 |    3518     252    3518 |     505     252     505 |    0.1    4.3    1.3
21   |   128 |    2157 |    3533     253    3533 |     506     253     506 |    0.1    5.5    1.5
22   |   128 |    1493 |    3025     252    3025 |     505     253     505 |    0.1    4.1    1.2
23   |   128 |    2149 |    3522     253    3522 |     506     253     506 |    0.1    5.3    1.4
24   |   128 |    2152 |    3526     253    3526 |     507     253     507 |    0.1    5.3    1.4
25   |   128 |    2157 |    3515     253    3515 |     507     253     507 |    0.1    5.1    1.4
26   |   128 |    2162 |    3534     253    3534 |     507     253     507 |    0.1    5.2    1.4
27   |   126 |    2121 |    3001     251    3001 |     502     251     502 |    0.1    3.9    1.2
28   |   128 |    2153 |    3527     253    3527 |     506     253     506 |    0.1    5.4    1.5
29   |   127 |    2147 |    3520     253    3520 |     505     253     505 |    0.1    5.5    1.5
30   |   126 |    2106 |    2994     251    2994 |     503     251     503 |    0.1    3.9    1.1
31   |   128 |    2152 |    3523     253    3523 |     505     253     505 |    0.1    5.2    1.4
32   |   128 |    2148 |    3515     253    3515 |     506     253     506 |    0.1    5.0    1.3
33   |   128 |    1390 |    3525     253    3525 |     507     254     507 |    0.1    5.1    1.4
34   |   128 |    1379 |    3523     253    3523 |     505     253     505 |    0.1    5.4    1.5
35   |   128 |    2157 |    3528     253    3528 |     506     253     506 |    0.1    5.1    1.4
36   |   128 |    1488 |    3522     253    3522 |     506     253     506 |    0.1    5.2    1.4
37   |   128 |    2156 |    3527     254    3527 |     507     254     507 |    0.1    5.2    1.4
38   |   128 |    2158 |    3524     253    3524 |     507     253     507 |    0.1    5.3    1.4
39   |   128 |    2155 |    3525     253    3525 |     507     253     507 |    0.1    5.3    1.4
40   |   128 |    2160 |    3534     254    3534 |     508     254     508 |    0.1    5.1    1.4
41   |   125 |    1477 |    3428     252    3428 |     504     252     504 |    0.1    3.9    1.2
42   |   128 |    2136 |    3478     252    3478 |     504     252     504 |    0.1    5.3    1.4
43   |   127 |    1483 |    3012     251    3012 |     503     251     503 |    0.1    4.2    1.2
44   |   128 |    2132 |    3500     253    3500 |     506     253     506 |    0.1    4.1    1.2
45   |   128 |    2158 |    3527     253    3527 |     506     253     506 |    0.1    5.4    1.4
46   |   128 |    2162 |    3533     253    3533 |     507     253     507 |    0.1    4.1    1.2
47   |   128 |    2145 |    3519     253    3519 |     506     253     506 |    0.1    5.3    1.4
48   |   128 |    2147 |    3512     253    3512 |     507     253     507 |    0.1    5.5    1.5
49   |   128 |    2157 |    3523     254    3523 |     508     254     508 |    0.1    5.1    1.4
50   |   128 |    1378 |    3015     253    3015 |     505     253     505 |    0.1    3.9    1.2
51   |   126 |    1740 |    3447     254    3447 |     509     254     509 |    0.1    4.2    1.2
52   |   128 |    2120 |    3454     252    3454 |     504     252     504 |    0.1    5.1    1.4
53   |   128 |    2148 |    3521     253    3521 |     506     253     506 |    0.1    4.3    1.3
54   |   126 |    1860 |    3483     252    3483 |     505     252     505 |    0.1    4.1    1.2
55   |   128 |    2156 |    3529     253    3529 |     507     253     507 |    0.1    5.3    1.4
56   |   128 |    2142 |    3507     252    3507 |     504     252     504 |    0.1    4.3    1.3
57   |   125 |    2103 |    2983     251    2983 |     501     251     501 |    0.1    3.9    1.2
58   |   128 |    1647 |    3528     255    3528 |     509     255     509 |    0.1    5.3    1.4
59   |   128 |    2167 |    3537     254    3537 |     508     254     508 |    0.1    5.4    1.4
60   |   128 |    2157 |    3529     253    3529 |     506     253     506 |    0.1    5.1    1.4
61   |   127 |    1489 |    2988     251    2988 |     504     251     504 |    0.1    3.9    1.2
62   |   128 |    2155 |    3514     253    3514 |     505     253     505 |    0.1    4.9    1.3
63   |   128 |    2137 |    3511     253    3511 |     507     253     507 |    0.1    5.4    1.4
