=== L5_alg2_1000_prealloc ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): ON

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8235.64 ms
  Set 2: 8295.41 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
65   |   254 |    4282 |    7030     505    7030 |    1012     505    1012 |    0.1   22.8    0.9
66   |   255 |    4328 |    7098     508    7098 |    1016     508    1016 |    0.2   23.4    0.9
67   |   255 |    4320 |    7088     507    7088 |    1015     507    1015 |    0.1   22.7    0.9
68   |   255 |    2789 |    7086     508    7086 |    1016     508    1016 |    0.1   23.3    0.9
69   |   255 |    4281 |    7004     506    7004 |    1014     506    1014 |    0.1   23.1    0.9
70   |   254 |    4311 |    7079     507    7079 |    1014     507    1014 |    0.1   22.8    0.9
71   |   254 |    4285 |    6059     506    6059 |    1012     506    1012 |    0.1   16.8    0.8
72   |   255 |    4308 |    7077     508    7077 |    1015     508    1015 |    0.1   17.2    0.8
73   |   255 |    4311 |    7072     507    7072 |    1013     507    1013 |    0.1   23.3    0.9
74   |   255 |    2789 |    7069     508    7069 |    1016     508    1016 |    0.1   23.8    0.9
75   |   255 |    4303 |    7085     507    7085 |    1014     507    1014 |    0.1   23.4    0.9
76   |   254 |    4299 |    6071     506    6071 |    1012     506    1012 |    0.1   17.1    0.8
77   |   255 |    4326 |    7098     508    7098 |    1016     508    1016 |    0.1   17.0    0.8
78   |   255 |    4302 |    7075     508    7075 |    1015     508    1015 |    0.1   22.8    0.9
79   |   255 |    4289 |    7061     508    7061 |    1015     508    1015 |    0.2   17.9    0.8
80   |   255 |    4281 |    6059     506    6059 |    1013     506    1013 |    0.1   17.5    0.8
81   |   255 |    4307 |    7070     506    7070 |    1013     506    1013 |    0.1   24.3    0.9
82   |   255 |    2788 |    7076     508    7076 |    1015     508    1015 |    0.2   17.4    0.8
83   |   255 |    4313 |    7082     507    7082 |    1015     508    1015 |    0.2   23.2    0.9
84   |   255 |    4300 |    6075     507    6075 |    1013     507    1013 |    0.1   18.1    0.8
85   |   254 |    3016 |    6046     506    6046 |    1013     506    1013 |    0.1   17.4    0.8
86   |   255 |    4312 |    7080     508    7080 |    1015     508    1015 |    0.2   24.7    0.9
87   |   255 |    2771 |    6064     506    6064 |    1013     506    1013 |    0.1   16.9    0.8
88   |   255 |    4275 |    6049     507    6049 |    1014     507    1014 |    0.1   17.3    0.8
89   |   255 |    3540 |    7069     508    7069 |    1016     508    1016 |    0.1   17.1    0.8
90   |   255 |    4314 |    7071     508    7071 |    1017     508    1017 |    0.2   23.5    1.0
91   |   253 |    2765 |    7036     507    7036 |    1013     507    1013 |    0.1   17.8    0.8
92   |   254 |    4299 |    7070     506    7070 |    1012     506    1012 |    0.1   23.5    0.9
93   |   255 |    4308 |    7075     506    7075 |    1013     506    1013 |    0.1   23.3    0.9
94   |   254 |    4311 |    7079     507    7079 |    1015     507    1015 |    0.1   23.7    0.9
95   |   255 |    4296 |    6072     507    6072 |    1013     507    1013 |    0.1   17.8    0.8
96   |   255 |    4284 |    7062     506    7062 |    1012     506    1012 |    0.1   18.4    0.8
97   |   255 |    3031 |    7085     508    7085 |    1015     508    1015 |    0.1   23.2    0.9
98   |   255 |    4317 |    7083     506    7083 |    1014     507    1014 |    0.2   23.1    0.9
99   |   255 |    4318 |    7090     509    7090 |    1017     509    1017 |    0.1   18.0    0.8
100  |   254 |    4302 |    7068     507    7068 |    1013     507    1013 |    0.2   24.2    0.9
