=== L3_alg2_1000_baseline ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): OFF

Generating 1000 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 3955.78 ms
  Set 2: 4039.25 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   194 |    3275 |    5360     384    5360 |     769     384     769 |    0.2   11.9    0.7
1    |   192 |    3242 |    5331     383    5331 |     766     383     766 |    0.1   12.7    0.7
2    |   194 |    3285 |    5369     386    5369 |     772     386     772 |    0.1   12.0    0.7
3    |   194 |    2690 |    5366     384    5366 |     768     384     768 |    0.2    9.8    0.6
4    |   194 |    2693 |    5359     385    5359 |     771     385     771 |    0.1    9.3    0.6
5    |   194 |    2126 |    5383     386    5383 |     773     386     773 |    0.1   12.7    0.7
6    |   194 |    2124 |    5386     385    5386 |     772     385     772 |    0.1   12.5    0.7
7    |   194 |    2111 |    5373     385    5373 |     770     385     770 |    0.1   11.9    0.7
8    |   194 |    2482 |    4595     384    4595 |     768     384     768 |    0.1    9.1    0.6
9    |   192 |    2096 |    4592     383    4592 |     766     383     766 |    0.1    9.1    0.6
10   |   194 |    3286 |    5376     386    5376 |     772     386     772 |    0.1   12.7    0.7
11   |   194 |    3273 |    5372     384    5372 |     769     385     769 |    0.1   12.3    0.7
12   |   194 |    3269 |    5365     385    5365 |     770     385     770 |    0.1   12.1    0.7
13   |   194 |    3272 |    5370     385    5370 |     771     385     771 |    0.1    9.8    0.7
14   |   194 |    3280 |    5374     385    5374 |     771     385     771 |    0.1   12.7    0.7
15   |   194 |    2289 |    5367     385    5367 |     770     385     770 |    0.1   12.3    0.7
16   |   193 |    3264 |    5360     384    5360 |     769     384     769 |    0.1   12.6    0.7
17   |   194 |    3288 |    5370     386    5370 |     772     386     772 |    0.1   12.7    0.7
18   |   194 |    3270 |    5361     384    5361 |     769     384     769 |    0.1   12.7    0.7
19   |   194 |    2109 |    5364     385    5364 |     770     385     770 |    0.1   12.1    0.7
20   |   194 |    3284 |    5381     385    5381 |     770     385     770 |    0.1   12.4    0.7
21   |   194 |    2702 |    5378     385    5378 |     772     385     772 |    0.1   12.3    0.7
22   |   193 |    3244 |    5334     385    5334 |     770     385     770 |    0.1   12.1    0.7
23   |   194 |    3271 |    5355     386    5355 |     771     386     771 |    0.1   12.1    0.7
24   |   194 |    3280 |    5356     386    5356 |     771     386     771 |    0.1   12.1    0.7
25   |   194 |    3272 |    5368     384    5368 |     768     384     768 |    0.1   12.9    0.7
26   |   194 |    3279 |    5366     385    5366 |     770     385     770 |    0.1   12.7    0.7
27   |   194 |    3285 |    5382     386    5382 |     772     386     772 |    0.1   12.8    0.7
28   |   193 |    3216 |    4564     383    4564 |     766     383     766 |    0.1    9.1    0.6
29   |   194 |    3283 |    5374     385    5374 |     770     385     770 |    0.1   12.4    0.7
30   |   194 |    3279 |    5370     385    5370 |     770     385     770 |    0.1   12.5    0.7
31   |   193 |    3249 |    5356     383    5356 |     767     383     767 |    0.1   12.8    0.7
32   |   194 |    3278 |    5366     384    5366 |     768     384     768 |    0.1   12.3    0.7
33   |   194 |    2509 |    5370     385    5370 |     770     385     770 |    0.1   12.5    0.7
34   |   193 |    3263 |    5360     384    5360 |     768     384     768 |    0.1   12.9    0.7
35   |   194 |    3280 |    5361     385    5361 |     771     385     771 |    0.2    9.3    0.6
36   |   194 |    3267 |    5373     384    5373 |     769     385     769 |    0.1   12.0    0.7
37   |   194 |    3269 |    5367     386    5367 |     773     386     773 |    0.1    9.3    0.6
38   |   194 |    3291 |    5384     385    5384 |     772     385     772 |    0.2   12.6    0.7
39   |   194 |    3287 |    5371     386    5371 |     772     386     772 |    0.1   12.9    0.7
40   |   194 |    2297 |    5359     386    5359 |     771     386     771 |    0.1   12.3    0.7
41   |   193 |    3247 |    5317     384    5317 |     767     384     767 |    0.1   12.4    0.7
42   |   193 |    2100 |    4594     383    4594 |     767     384     767 |    0.1    9.4    0.6
43   |   194 |    3271 |    5361     384    5361 |     770     384     770 |    0.1   12.2    0.7
44   |   194 |    3279 |    5375     384    5375 |     770     385     770 |    0.1   12.1    0.7
45   |   194 |    2642 |    4563     384    4563 |     767     384     767 |    0.1    9.1    0.6
46   |   193 |    3262 |    5351     385    5351 |     771     385     771 |    0.2   12.1    0.7
47   |   194 |    2480 |    4594     384    4594 |     768     384     768 |    0.2    9.1    0.6
48   |   194 |    3267 |    5363     385    5363 |     769     385     769 |    0.1   11.8    0.7
49   |   194 |    3288 |    5381     385    5381 |     771     385     771 |    0.1   12.6    0.7
50   |   194 |    3277 |    5371     385    5371 |     770     385     770 |    0.1   12.2    0.7
51   |   194 |    3282 |    5363     386    5363 |     771     386     771 |    0.1   12.4    0.7
52   |   194 |    3276 |    5378     385    5378 |     770     385     770 |    0.1   11.9    0.7
53   |   194 |    2341 |    5354     387    5354 |     775     387     775 |    0.1    9.7    0.6
54   |   194 |    3278 |    5372     385    5372 |     770     385     770 |    0.1   12.8    0.7
55   |   194 |    3287 |    5366     386    5366 |     773     386     773 |    0.1   12.6    0.7
56   |   194 |    3275 |    5371     385    5371 |     770     385     770 |    0.1   12.6    0.7
57   |   194 |    3284 |    5376     385    5376 |     770     385     770 |    0.1   12.7    0.7
58   |   194 |    3273 |    5360     385    5360 |     770     385     770 |    0.1   11.7    0.7
59   |   194 |    2493 |    5377     385    5377 |     770     385     770 |    0.1   12.5    0.7
60   |   194 |    2297 |    5365     385    5365 |     769     385     769 |    0.1   12.5    0.7
61   |   194 |    3287 |    5379     385    5379 |     771     385     771 |    0.1   12.4    0.7
62   |   194 |    3293 |    5379     386    5379 |     772     386     772 |    0.1   12.3    0.7
63   |   194 |    3278 |    5368     385    5368 |     771     385     771 |    0.1   12.1    0.7
64   |   194 |    3278 |    5368     386    5368 |     772     386     772 |    0.1   13.0    0.7
65   |   193 |    3273 |    5370     385    5370 |     769     384     769 |    0.1   12.5    0.7
66   |   194 |    3277 |    5374     385    5374 |     769     385     769 |    0.1   12.8    0.7
67   |   193 |    3251 |    4582     383    4582 |     766     383     766 |    0.1    9.2    0.6
68   |   193 |    3254 |    5352     383    5352 |     766     383     766 |    0.1   12.3    0.7
69   |   194 |    3280 |    5368     384    5368 |     769     384     769 |    0.1   12.9    0.7
70   |   194 |    3268 |    5369     385    5369 |     769     385     769 |    0.1   11.9    0.7
71   |   194 |    3284 |    5365     386    5365 |     773     386     773 |    0.1   12.7    0.7
72   |   193 |    2287 |    5360     385    5360 |     771     385     771 |    0.1   12.6    0.7
73   |   194 |    3264 |    5370     385    5370 |     770     385     770 |    0.1   12.6    0.7
74   |   192 |    3240 |    4584     384    4584 |     768     384     768 |    0.1    9.6    0.6
75   |   194 |    3287 |    5362     387    5362 |     774     387     774 |    0.1   12.0    0.7
76   |   194 |    3271 |    5372     385    5372 |     770     385     770 |    0.1   12.4    0.7
77   |   194 |    3266 |    5359     383    5359 |     767     383     767 |    0.1   12.4    0.7
78   |   194 |    3243 |    4588     384    4588 |     769     384     769 |    0.1    9.3    0.6
79   |   194 |    3276 |    5375     385    5375 |     770     385     770 |    0.1   12.5    0.7
80   |   194 |    3281 |    5372     385    5372 |     770     385     770 |    0.1   12.1    0.7
81   |   194 |    3283 |    5378     385    5378 |     770     385     770 |    0.1   12.5    0.7
82   |   194 |    2292 |    4598     384    4598 |     768     384     768 |    0.1    9.3    0.6
83   |   194 |    3274 |    5369     385    5369 |     770     385     770 |    0.1    9.7    0.6
84   |   194 |    3273 |    5357     384    5357 |     770     385     770 |    0.2   12.0    0.7
85   |   194 |    3288 |    5372     386    5372 |     772     386     772 |    0.1   12.0    0.7
86   |   194 |    2106 |    5363     384    5363 |     768     384     768 |    0.1   12.3    0.7
87   |   194 |    3288 |    5379     386    5379 |     771     386     771 |    0.1   12.6    0.7
88   |   193 |    3259 |    5355     383    5355 |     767     383     767 |    0.1   12.5    0.7
89   |   193 |    2107 |    5353     385    5353 |     770     385     770 |    0.1   11.8    0.7
90   |   193 |    3256 |    5346     383    5346 |     767     383     767 |    0.1   11.8    0.6
91   |   194 |    3278 |    5372     385    5372 |     770     385     770 |    0.1   12.4    0.7
92   |   193 |    2283 |    4590     383    4590 |     767     383     767 |    0.1    9.4    0.6
93   |   193 |    2476 |    5303     386    5303 |     772     386     772 |    0.2   10.0    0.6
94   |   194 |    3274 |    5357     385    5357 |     769     385     769 |    0.1   12.8    0.7
95   |   194 |    3266 |    5367     384    5367 |     770     385     770 |    0.1   12.6    0.7
96   |   192 |    3245 |    5347     383    5347 |     766     383     766 |    0.1   12.1    0.7
97   |   193 |    3258 |    5359     384    5359 |     768     384     768 |    0.1   12.6    0.7
98   |   192 |    3242 |    5331     383    5331 |     766     383     766 |    0.1   12.1    0.7
99   |   193 |    3269 |    5358     385    5358 |     769     384     769 |    0.1   12.1    0.7
100  |   193 |    3257 |    4600     384    4600 |     768     384     768 |    0.1    9.3    0.6
101  |   194 |    3280 |    5373     386    5373 |     772     386     772 |    0.1   12.0    0.7
102  |   194 |    3237 |    5292     384    5292 |     768     384     768 |    0.1   12.1    0.7
103  |   194 |    2511 |    5387     385    5387 |     771     386     771 |    0.1   12.9    0.7
104  |   194 |    2468 |    4576     383    4576 |     768     384     768 |    0.1    9.2    0.6
105  |   194 |    3282 |    5372     385    5372 |     771     385     771 |    0.1   12.1    0.7
106  |   194 |    3282 |    5377     385    5377 |     771     385     771 |    0.1   12.4    0.7
107  |   194 |    3273 |    5365     384    5365 |     769     384     769 |    0.1   12.5    0.7
108  |   194 |    3264 |    5352     384    5352 |     768     384     768 |    0.1   12.1    0.7
109  |   193 |    3267 |    5360     385    5360 |     772     385     772 |    0.1   11.7    0.6
110  |   193 |    3262 |    5354     384    5354 |     768     384     768 |    0.1   12.4    0.7
111  |   194 |    3275 |    4613     385    4613 |     771     385     771 |    0.1    9.1    0.6
112  |   194 |    3282 |    5358     385    5358 |     771     385     771 |    0.2   12.2    0.7
113  |   194 |    3282 |    5374     386    5374 |     771     386     771 |    0.1   12.8    0.7
114  |   194 |    3277 |    5365     385    5365 |     769     384     769 |    0.1   12.8    0.7
115  |   194 |    3263 |    4609     384    4609 |     769     384     769 |    0.1    9.7    0.6
116  |   194 |    2292 |    4605     384    4605 |     768     384     768 |    0.1    8.9    0.6
