=== L1_alg2_1000_baseline ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): OFF

Generating 1000 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 1367.29 ms
  Set 2: 1352.99 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   128 |    2152 |    3516     252    3516 |     505     252     505 |    0.1    5.2    0.5
1    |   128 |    2164 |    3525     254    3525 |     508     254     508 |    0.1    5.1    0.5
2    |   126 |    2122 |    3495     251    3495 |     502     251     502 |    0.1    5.4    0.5
3    |   128 |    2145 |    3511     252    3511 |     504     252     504 |    0.1    5.1    0.4
4    |   127 |    2144 |    3519     253    3519 |     505     253     505 |    0.1    5.3    0.4
5    |   127 |    2118 |    3474     251    3474 |     503     251     503 |    0.1    4.9    0.4
6    |   127 |    2136 |    3499     251    3499 |     503     251     503 |    0.1    5.6    0.5
7    |   128 |    2161 |    3535     253    3535 |     506     253     506 |    0.1    5.1    0.4
8    |   128 |    2149 |    3522     253    3522 |     506     253     506 |    0.1    4.9    0.4
9    |   128 |    2152 |    3518     255    3518 |     509     255     509 |    0.1    5.0    0.4
10   |   127 |    2131 |    3507     251    3507 |     503     251     503 |    0.1    5.3    0.4
11   |   128 |    2154 |    3526     253    3526 |     506     253     506 |    0.1    5.3    0.5
12   |   126 |    1468 |    2966     251    2966 |     502     251     502 |    0.1    3.9    0.4
13   |   128 |    2165 |    3520     254    3520 |     509     254     509 |    0.1    5.2    0.4
14   |   126 |    2103 |    2988     251    2988 |     501     251     501 |    0.1    3.9    0.4
15   |   128 |    2160 |    3530     253    3530 |     506     253     506 |    0.1    5.3    0.4
16   |   128 |    1484 |    3516     252    3516 |     504     252     504 |    0.1    4.1    0.4
17   |   128 |    2160 |    3534     253    3534 |     508     253     508 |    0.1    5.3    0.5
18   |   127 |    2093 |    2979     251    2979 |     503     251     503 |    0.1    3.8    0.4
19   |   128 |    2158 |    3536     253    3536 |     507     254     507 |    0.1    5.3    0.5
20   |   127 |    2146 |    3517     252    3517 |     505     252     505 |    0.1    5.1    0.4
21   |   128 |    2170 |    3539     254    3539 |     507     254     507 |    0.1    5.4    0.5
22   |   128 |    1490 |    3014     252    3014 |     504     252     504 |    0.1    4.0    0.4
23   |   128 |    2119 |    3004     253    3004 |     506     253     506 |    0.1    4.1    0.4
24   |   128 |    2160 |    3525     253    3525 |     507     253     507 |    0.1    5.4    0.4
25   |   128 |    2144 |    3505     252    3505 |     504     252     504 |    0.1    4.9    0.5
26   |   128 |    2170 |    3519     255    3519 |     511     255     511 |    0.1    5.3    0.5
27   |   126 |    2116 |    3001     251    3001 |     502     251     502 |    0.1    3.7    0.4
28   |   128 |    1486 |    2975     252    2975 |     505     252     505 |    0.1    3.9    0.4
29   |   128 |    1772 |    3531     253    3531 |     506     253     506 |    0.1    4.1    0.4
30   |   128 |    2135 |    3486     252    3486 |     504     252     504 |    0.1    5.1    0.4
31   |   128 |    2152 |    3520     254    3520 |     508     254     508 |    0.1    4.9    0.4
32   |   128 |    2156 |    3521     253    3521 |     505     253     505 |    0.1    5.2    0.5
33   |   128 |    2166 |    3521     254    3521 |     509     254     509 |    0.1    5.2    0.4
34   |   128 |    2153 |    3522     253    3522 |     506     253     506 |    0.1    5.2    0.4
35   |   128 |    2158 |    3517     253    3517 |     507     253     507 |    0.1    5.3    0.4
36   |   128 |    2158 |    3033     253    3033 |     507     253     507 |    0.1    4.2    0.4
37   |   128 |    2169 |    3536     254    3536 |     507     254     507 |    0.1    5.1    0.4
38   |   128 |    2155 |    3522     252    3522 |     505     252     505 |    0.1    5.2    0.5
39   |   126 |    1380 |    3506     251    3506 |     504     252     504 |    0.1    5.0    0.4
40   |   128 |    2156 |    3521     252    3521 |     506     252     506 |    0.1    5.2    0.4
41   |   128 |    2162 |    3531     253    3531 |     506     253     506 |    0.1    5.4    0.4
42   |   128 |    2169 |    3541     253    3541 |     507     253     507 |    0.1    5.5    0.5
