=== L1_alg2_1000_prealloc ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): ON

Generating 1000 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 1329.15 ms
  Set 2: 1275.68 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   128 |    2160 |    3523     254    3523 |     508     254     508 |    0.1    5.1    0.5
1    |   128 |    1622 |    3008     253    3008 |     507     253     507 |    0.1    4.1    0.4
2    |   127 |    2143 |    3520     253    3520 |     505     253     505 |    0.1    4.9    0.4
3    |   128 |    2168 |    3537     254    3537 |     507     254     507 |    0.1    5.0    0.4
4    |   128 |    2166 |    3537     254    3537 |     508     254     508 |    0.1    5.3    0.5
5    |   127 |    2141 |    3518     253    3518 |     505     253     505 |    0.1    5.3    0.4
6    |   128 |    2165 |    3536     254    3536 |     508     254     508 |    0.1    5.2    0.4
7    |   128 |    2148 |    3522     253    3522 |     505     253     505 |    0.1    5.4    0.4
8    |   128 |    2163 |    3536     254    3536 |     507     254     507 |    0.1    5.5    0.5
9    |   128 |    2149 |    3508     253    3508 |     506     253     506 |    0.1    5.5    0.5
10   |   128 |    1652 |    3538     254    3538 |     508     254     508 |    0.1    3.9    0.4
11   |   128 |    2165 |    3531     254    3531 |     508     254     508 |    0.1    5.5    0.5
12   |   128 |    2157 |    3526     253    3526 |     506     253     506 |    0.1    5.2    0.4
13   |   128 |    2159 |    3537     253    3537 |     506     253     506 |    0.1    5.3    0.5
14   |   127 |    1765 |    3512     252    3512 |     506     253     506 |    0.1    4.2    0.4
15   |   126 |    2130 |    3506     251    3506 |     503     252     503 |    0.1    5.2    0.5
16   |   128 |    1505 |    3530     253    3530 |     506     253     506 |    0.1    5.3    0.4
17   |   128 |    2160 |    3536     253    3536 |     507     253     507 |    0.1    5.3    0.5
18   |   128 |    2143 |    3505     252    3505 |     504     252     504 |    0.1    5.3    0.4
19   |   128 |    2109 |    3491     252    3491 |     504     252     504 |    0.1    4.1    0.4
20   |   128 |    2157 |    3516     254    3516 |     508     254     508 |    0.1    5.2    0.4
21   |   128 |    2156 |    3522     254    3522 |     507     254     507 |    0.1    5.0    0.4
22   |   127 |    1621 |    3014     251    3014 |     503     251     503 |    0.1    4.0    0.4
23   |   128 |    2158 |    3524     254    3524 |     508     254     508 |    0.1    5.2    0.5
24   |   128 |    1500 |    3534     253    3534 |     506     253     506 |    0.1    5.2    0.5
25   |   127 |    2140 |    3515     252    3515 |     505     252     505 |    0.1    5.1    0.4
26   |   128 |    1768 |    3530     253    3530 |     506     253     506 |    0.1    4.0    0.4
27   |   128 |    2162 |    3532     254    3532 |     508     254     508 |    0.1    5.2    0.4
28   |   128 |    2162 |    3535     253    3535 |     507     253     507 |    0.1    5.1    0.5
29   |   128 |    2147 |    3518     253    3518 |     506     253     506 |    0.1    5.4    0.4
30   |   128 |    2160 |    3523     254    3523 |     507     254     507 |    0.1    5.0    0.4
31   |   128 |    2143 |    3502     252    3502 |     504     252     504 |    0.1    5.3    0.5
32   |   128 |    1387 |    3497     253    3497 |     506     253     506 |    0.1    5.0    0.4
33   |   128 |    2156 |    3529     253    3529 |     506     253     506 |    0.1    4.9    0.4
34   |   128 |    2168 |    3533     254    3533 |     508     254     508 |    0.1    5.3    0.5
35   |   128 |    1374 |    3007     252    3007 |     504     252     504 |    0.1    3.9    0.4
36   |   128 |    2121 |    3007     251    3007 |     504     252     504 |    0.1    4.0    0.4
37   |   128 |    2145 |    3016     252    3016 |     503     252     503 |    0.1    3.9    0.4
38   |   128 |    2158 |    3531     253    3531 |     507     253     507 |    0.1    5.6    0.5
39   |   128 |    2161 |    3521     254    3521 |     509     254     509 |    0.1    5.0    0.5
40   |   128 |    2140 |    3493     252    3493 |     507     252     507 |    0.1    5.1    0.5
