=== L5_alg2_1000_baseline ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): OFF

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8383.42 ms
  Set 2: 8247.00 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
65   |   255 |    4302 |    7074     506    7074 |    1012     506    1012 |    0.1   23.7    0.9
66   |   255 |    4307 |    7075     507    7075 |    1013     507    1013 |    0.1   23.6    0.9
67   |   255 |    4322 |    7091     508    7091 |    1015     508    1015 |    0.1   23.8    0.9
68   |   255 |    4309 |    7075     507    7075 |    1014     507    1014 |    0.1   23.9    0.9
69   |   253 |    4282 |    6056     505    6056 |    1010     505    1010 |    0.1   17.2    0.8
70   |   254 |    4279 |    6062     506    6062 |    1011     506    1011 |    0.1   17.7    0.8
71   |   254 |    4271 |    7035     507    7035 |    1015     507    1015 |    0.2   16.6    0.8
72   |   253 |    4265 |    6029     505    6029 |    1010     505    1010 |    0.1   17.8    0.8
73   |   255 |    4310 |    7088     507    7088 |    1014     507    1014 |    0.1   23.2    0.9
74   |   255 |    4325 |    7085     509    7085 |    1018     509    1018 |    0.1   23.7    0.9
75   |   254 |    4295 |    7067     506    7067 |    1012     506    1012 |    0.2   23.9    0.9
76   |   255 |    4310 |    7079     507    7079 |    1014     507    1014 |    0.2   23.5    0.9
77   |   253 |    4247 |    6023     506    6023 |    1012     506    1012 |    0.2   17.3    0.8
78   |   255 |    4324 |    7093     508    7093 |    1016     508    1016 |    0.2   25.6    1.0
79   |   255 |    2775 |    7076     507    7076 |    1014     507    1014 |    0.2   23.2    0.9
80   |   255 |    4316 |    7085     507    7085 |    1015     507    1015 |    0.2   23.2    0.9
81   |   255 |    4318 |    7081     508    7081 |    1016     508    1016 |    0.2   24.8    1.0
82   |   255 |    4307 |    7070     506    7070 |    1013     507    1013 |    0.2   23.9    0.9
83   |   255 |    2762 |    6037     506    6037 |    1014     506    1014 |    0.2   16.7    0.8
84   |   254 |    4283 |    6060     506    6060 |    1012     506    1012 |    0.1   18.0    0.8
85   |   253 |    2747 |    6012     506    6012 |    1012     505    1012 |    0.2   17.0    0.8
86   |   253 |    2756 |    6031     505    6031 |    1011     505    1011 |    0.1   17.1    0.8
87   |   255 |    3300 |    7091     508    7091 |    1017     508    1017 |    0.2   17.7    0.8
88   |   255 |    4326 |    7093     508    7093 |    1017     508    1017 |    0.1   23.9    0.9
89   |   255 |    4287 |    6063     506    6063 |    1013     506    1013 |    0.1   17.4    0.8
90   |   254 |    3263 |    6046     506    6046 |    1013     506    1013 |    0.2   17.0    0.8
91   |   255 |    4274 |    6050     507    6050 |    1013     507    1013 |    0.1   18.3    0.8
92   |   254 |    4309 |    7083     507    7083 |    1014     507    1014 |    0.2   24.4    0.9
93   |   254 |    4295 |    7060     505    7060 |    1012     506    1012 |    0.2   24.5    0.9
94   |   255 |    2770 |    6062     506    6062 |    1013     506    1013 |    0.1   17.5    0.8
95   |   255 |    3289 |    7069     507    7069 |    1015     507    1015 |    0.2   17.7    0.8
96   |   255 |    4312 |    7076     507    7076 |    1014     507    1014 |    0.2   22.9    0.9
