=== L3_alg2_1000_prealloc ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): ON

Generating 1000 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 4034.52 ms
  Set 2: 4071.20 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   194 |    3268 |    5365     384    5365 |     769     384     769 |    0.2   12.9    0.7
1    |   194 |    3279 |    5372     385    5372 |     770     385     770 |    0.1   12.6    0.7
2    |   194 |    3276 |    5368     384    5368 |     769     384     769 |    0.1   12.2    0.7
3    |   194 |    3284 |    5375     386    5375 |     772     386     772 |    0.1   12.7    0.7
4    |   192 |    3226 |    5312     384    5312 |     767     384     767 |    0.1   12.0    0.7
5    |   194 |    3290 |    5382     386    5382 |     773     387     773 |    0.1   12.5    0.7
6    |   192 |    2079 |    5317     383    5317 |     765     383     765 |    0.1    9.1    0.6
7    |   194 |    3275 |    5370     385    5370 |     770     385     770 |    0.1   12.9    0.7
8    |   194 |    3272 |    5341     385    5341 |     770     385     770 |    0.1   12.2    0.7
9    |   194 |    3272 |    5362     384    5362 |     768     384     768 |    0.1   12.6    0.7
10   |   194 |    3231 |    4584     384    4584 |     767     384     767 |    0.1    9.4    0.6
11   |   194 |    2503 |    5376     385    5376 |     770     385     770 |    0.1    9.7    0.6
12   |   193 |    2494 |    5366     385    5366 |     770     385     770 |    0.1   12.2    0.7
13   |   192 |    3234 |    5325     383    5325 |     766     383     766 |    0.1   12.4    0.7
14   |   194 |    2895 |    5376     386    5376 |     771     386     771 |    0.1    9.6    0.6
15   |   194 |    3291 |    5383     385    5383 |     771     385     771 |    0.1   12.6    0.7
16   |   194 |    2500 |    5376     385    5376 |     770     385     770 |    0.2   12.8    0.7
17   |   194 |    2301 |    5374     385    5374 |     770     385     770 |    0.1   12.5    0.7
18   |   193 |    3258 |    5356     384    5356 |     768     384     768 |    0.1   12.0    0.7
19   |   194 |    3258 |    5338     384    5338 |     768     384     768 |    0.1   11.8    0.7
20   |   194 |    3276 |    5345     385    5345 |     772     385     772 |    0.1   11.9    0.6
21   |   194 |    2487 |    4600     384    4600 |     769     384     769 |    0.1    9.0    0.6
